Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
  Drug 24                                                                                                                                  NNc1nnc(NN)c2ccccc12 1
Drug 3351                                                                                                                      O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1 0
Drug 7054                                                                                                                                 ClNc1nc(NCl)nc(NCl)n1 0
Drug 1076                                                                                                                                    CC(=O)N(O)c1ccccc1 0
 Drug 564                                                                                                     CCN(CC)C(=S)SSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O 0
Drug 2794                                                                                                                                   c1cnc2c(c1)C1OC1CC2 0
Drug 2358                                                                                                                                       NC(=O)N(CCO)N=O 1
Drug 1973                                                                                                                        O=C1c2ccccc2C(=O)c2cc(CO)ccc21 0
Drug 2367                                                                                                                        O=C1CCCN1c1ncc([N+](=O)[O-])s1 1
Drug 5319                                                                                                                          O=C1c2ccccc2-c2ccc3ccccc3c21 0
Drug 4130                                                                                                                          Nc1cc([N+](=O)[O-])cc(Cl)c1O 1
Drug 3724                                                                                                                  O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12 0
Drug 6070                                                                                                                 O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1 1
  Drug 48                                                                                                                            Nc1ccc([N+](=O)[O-])c(N)c1 1
Drug 4511                                                                                                                Cc1ccc(-c2nc3n(c2[N+](=O)[O-])CCS3)cc1 1
Drug 3429                                                                                                               Oc1ccc2c(c1)-c1cc3cccc4ccc5ccc-2c1c5c43 1
 Drug 125                                                                                                                                         O=C(O)CC(=O)O 0
Drug 3932                                                                                                                                          Nc1ccc(N)cc1 1
Drug 6524                                                                                                                      c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34 1
Drug 3263                                                                                                 CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
 Drug 556                                                                                                                                  CC(Br)C(=O)Nc1ccccc1 1
Drug 6392                                                                                                                                          O=NN1CCCCCC1 1
Drug 2259                                                                                                               Cn1c([N+](=O)[O-])nc2ncc(-c3ccccc3)cc21 1
Drug 6732                                                                                                                          N=P(O)(OCCC(=O)O)N(CCCl)CCCl 1
Drug 1972                                                                                                  COC(=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 1541                                                                                                                        Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O 1
Drug 6420                                                                                                                                         NNOS(=O)(=O)O 1
Drug 5889                                                                                                                     O=CNc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1 1
Drug 5303                                                                                                     O=[N+]([O-])c1cc2[nH]c3ccc4c(O)cccc4c3c2c2ccccc12 1
Drug 4533                                                                                                                         ClCCNCCCNc1c2ccccc2nc2ccccc12 1
 Drug 193                                                                                                                                      NC(=O)CCCCC(N)=O 0
Drug 1368                                                                                                       COc1ccc2nc3cc(Cl)ccc3c(NC(C)CCCN(CCCl)CCCl)c2c1 1
 Drug 303                                                                                                                      c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1 1
Drug 7163                                                                                                                 C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C 0
Drug 1493                                                                                                                                     CCCCCCCCCCCC(=O)O 0
Drug 4093                                                                                                                                    Oc1cc(O)c2ccccc2c1 1
Drug 4325                                                                                                                               NCCCNCCCCN(CCCN)N(O)N=O 1
Drug 5900                                                                                                                       O=c1c2cccc3ccc4c5ccccc5cc1c4c32 1
Drug 7088                                                                                                            CC(C)NCC(O)COc1cccc2c1OCC(O[N+](=O)[O-])C2 0
Drug 1923                                                                                                                                           CCOC(=O)CCl 0
 Drug 369                                                                                                                             OC1c2ccc3ccccc3c2C2OC2C1O 1
Drug 6909                                                                                                                                 Nc1ccc2cc3ccccc3cc2c1 1
  Drug 83                                                                                                          O=[N+]([O-])c1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2 1
Drug 3546                                                                                                                                                CC(C)O 0
Drug 4481                                                                                                                    Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc(N)cc1 0
Drug 2536                                                                                                                                   CCCCCOc1ccc(N=O)cc1 1
Drug 3745                                                                                                      Cc1ccc(C(C)(C)C)c(O)c1C(O)c1ncc([N+](=O)[O-])n1C 0
Drug 1884                                                                                                                      CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1 1
Drug 4241                                                                                                                                 C[C@@H](CCN(C)C)N(C)C 0
Drug 1243                                                                                                                                            Oc1ccccc1O 0
 Drug 317                                                                                                                            Cc1cnc2c(ccc3c2nc(N)n3C)n1 1
 Drug 776                                                                                                                              O=[N+]([O-])c1ccc(NO)cc1 1
Drug 3105                                                                                                                                             NC(=O)CBr 0
Drug 2661                                                                                                                                               CSCCC=O 0
Drug 4831                                                                                                                         Cc1cc([N+](=O)[O-])cc2ccccc12 1
Drug 3895                                                                                                                   Cc1c2ccncc2c(C)c2c1[nH]c1ccc(N)cc12 1
Drug 7158                                                                                                                                CC1C(=O)CC2(C(C)C)CC12 0
Drug 6684                                                                                                           C=C(C)C1Cc2c(cc(O)c3c(=O)c4ccccc4n(C)c23)O1 1
 Drug 266                                 COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O 0
 Drug 280                                                                                                                              COC(=O)/C(C#N)=C/c1ccco1 0
Drug 5546                                                                                                                                            O=C1CCCCC1 0
Drug 5864                                                                                                                  O=S(=O)(O)OCc1ccc2ccc3cccc4ccc1c2c34 1
Drug 1975                                                                                                                                           COCCOC(C)=O 1
Drug 4892                                                                                                                      c1ccc2c(c1)c1cccc3ccc4cccc2c4c31 1
Drug 3396                                                                                                              O=S(=O)(O)c1ccc2c(N=Nc3ccccc3)c(O)ccc2c1 0
Drug 5557                                                                                                                            COC(=O)C(CSCC(C)Br)NC(C)=O 1
Drug 2936                                                                                                                               OCCN(CCO)c1ccc2ccccc2c1 1
Drug 4238                                                                                                    CCN(CC)CCNc1ccc(COC(=O)c2ccco2)c2sc3ccccc3c(=O)c12 1
Drug 2541                                                                                                                                        N#CC(Cl)(Cl)Cl 1
Drug 3946                                                                                                                               CC(OP(C)(=O)Cl)C(C)(C)C 0
Drug 5950                                                                                                                                     O=Cc1cccc2cccnc12 1
Drug 6997                                                                                                                      CCOP(O)(=NC(C)C)Oc1ccc(SC)c(C)c1 0
Drug 4197                                                                                                                    Cn1c2ccccc2c2cc([N+](=O)[O-])ccc21 1
 Drug 840                                                                                      O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@H](O)[C@H]1O 0
Drug 2526                                                                                                                   Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1 1
Drug 4550                                                                                             COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccc(N=[N+]=[N-])cc12 1
Drug 4355                                                                                                                                            CCC(C)(C)C 0
 Drug 383                                                                                                                   CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45 1
Drug 2350                                                                                                                        Cc1cc(O)c2c(O)c3c(O)cccc3cc2c1 1
Drug 7005                                                                                                                          O=[N+]([O-])OC1COC2C(O)COC12 0
Drug 2560                                                                                                                              c1ccc(-c2nc3ccccc3o2)cc1 0
Drug 4328                                                                                                                    CC(=O)OCc1ccccc1N=Nc1ccc(N(C)C)cc1 1
Drug 7350                                                                                                                            CCCCC(CC)COC(=O)CCCCC(=O)O 0
Drug 1723                                                                                                                                 CC(C)CN(CC(C)C)CC(C)C 0
Drug 6163                                                                                                           O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O 1
Drug 2615                                                                                                             NC(CCC(=O)N(CC(=O)O)C(=O)C(N)CSN=O)C(=O)O 1
Drug 1851                                                                                                                          Nc1ncnc2c1ncn2C1CC(O)C(CO)O1 0
Drug 5295                                                                                                                            Cn1c(=O)c2c(ncn2C)n(C)c1=O 0
Drug 1331                                                                                                                      CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O 0
Drug 6159                                                                                                                             O=S(=O)(NO)c1cccc2cccnc12 0
Drug 2452                                                                                                                                  O=C(O)c1ccc(Cl)cc1Cl 0
Drug 4284                                                                                                                             O=[N+]([O-])/C=C/c1ccccc1 1
Drug 4703                                                                                                                                                 CCCOO 1
Drug 1520                                                                                                                  CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21 1
Drug 3924                                                                                                                c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45 1
Drug 2906                                                                                                                                  Cn1ccnc1[N+](=O)[O-] 1
 Drug 735                                                                                                                               CCNc1nc(Cl)nc(NC(C)C)n1 0
 Drug 363                                                                                                                           Cc1c(N)cccc1N=Nc1cccc(N)c1C 1
Drug 6386                                                                                                                                   c1ccc(CN2CCN=N2)cc1 1
 Drug 374                                                                                                                                           CCOCCOCCOCC 0
Drug 4964                                                                                                      Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1 0
Drug 1481                                                                                                                                 CCCCOC(=O)c1ccc(O)cc1 0
Drug 4174                                                                                                                              Cc1cc(N)ccc1-c1ccc(O)cc1 1
Drug 6514                                                                                                          CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C 0
Drug 5201                                                                                                                                       Cc1ccc(O)c(C)c1 1
Drug 1944                                                                                                                        CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2 0
Drug 2838                                                                                                                      O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21 1
Drug 3713                                                                                                                           Nc1ccc2nc3ccc(N)cc3[s+]c2c1 1
Drug 6627                                                                                                                                        COc1ccc(N)cc1N 1
Drug 2752                                                                                             CCCCCC(=O)Cc1cc(O)cc2c1C(=O)Oc1cc(O)c(C(=O)O)c(CCCCC)c1O2 0
Drug 2144                                                                                                                                     Nc1ccccc1C(F)(F)F 0
Drug 6254                                                                                                                      OCc1c2ccccc2c2ccc3cccc4ccc1c2c43 1
Drug 5645                                                                                                                            Cc1ccc(N)c([N+](=O)[O-])c1 1
Drug 4348                                                                                                                         Cc1ccc2cccc([N+](=O)[O-])c2c1 1
Drug 5455                                                                                                                         Cc1cccc2cc([N+](=O)[O-])ccc12 1
Drug 6171                                                                                                                           CC(=O)Nc1cccc2c1-c1ccccc1C2 1
Drug 6768                                                                                                                               Nc1ccc2[nH]c3ccccc3c2c1 1
Drug 5941                                                                                                        O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])cc3c2c1 1
Drug 5065                                                                                                                                   O=C(C(Cl)Cl)C(Cl)Cl 1
Drug 4413                                                                                                                      O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1 1
Drug 6401                                                                                                        C=C(C)C1CCC(=C)C2C3=C(CC(C)C3=O)C(=O)C(C)=CC12 0
Drug 4492                                                                                                                                             CN(C)CCCl 1
Drug 5767                                                                                                                               Cn1c(N)nc2c3ncccc3ccc21 1
Drug 6472                                                                                                                           Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl 0
Drug 1684                                                                                                                                    O=NN1CCC[C@H](O)C1 1
Drug 5660                                                                                                                           Oc1cccc2cc3cccc(O)c3c(O)c12 0
Drug 5562                                                                                                                   CCc1cccc2cc([C@H](O)CNC(C)(C)C)oc12 0
Drug 1754                                                                                                   COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1 1
Drug 2514                                                                                                                                      N#Cc1cccc(C#N)c1 0
Drug 5113                                                                                                                          CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1 0
 Drug 948                                                                                                                                        O=C1C=CC(=O)N1 1
Drug 6097                                                                                          CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC2COC3(CCCC3)O2)C1c1cccc(Cl)c1 0
Drug 1495                                                                                                                                     O=C(O)C(Br)(Br)Br 1
Drug 4069                                                                                                              CC1(CO)C(O)CCC2(C)C1CCC1CC3CC12CCC3(O)CO 0
 Drug 311                                                                                                         O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4 1
Drug 4055                                                                                                                O=C(Nc1ccc(F)cc1)c1csc([N+](=O)[O-])c1 1
Drug 1070                                                                                                                                 Nc1ccc2nc3ccccc3cc2c1 1
Drug 6976                                                                                                                                   CCC(CO)=[N+]([O-])O 0
Drug 2637                                                                                                              O=c1oc2ccc([N+](=O)[O-])c3ccc4cccc1c4c23 1
Drug 2089                                                                                                                        N=C(N)c1ccc2cc(C(=N)N)[nH]c2c1 0
Drug 6764                                                                                                             CCC(C)COC(=O)C=Cc1ccc(N=Cc2ccc(OC)cc2)cc1 1
Drug 6143                                                                                                                  CCCNc1c([N+](=O)[O-])ccc(Cl)c1C(=O)O 0
Drug 1818                                                                                                                            CCCCOC(=O)COc1ccc(Cl)cc1Cl 0
 Drug 289                                                                                                                CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1 1
Drug 6655                                                                                                 O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2c(O)ccc(O)c12 1
Drug 4223                                                                                                                            COP(=S)(OC)Oc1ccc(N)c(C)c1 1
Drug 5329                                                                                                                       Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1 1
Drug 5093                                                                                                                O=[N+]([O-])c1cccc2c1-c1cccc3cccc-2c13 1
Drug 6984                                                                                                                                         C=CS(C)(=O)=O 0
 Drug 791                                                                                                         CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1 1
Drug 5473                                                                                                                                       CCCC(CCC)C(=O)O 0
Drug 1120                                                                                                                     COc1cccc2c(NCCCNCCCl)c3ccccc3nc12 1
Drug 4315                                                                                                                              COc1nsc2ccc(OCC3CO3)cc12 1
Drug 5181                                                                                                        O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1 1
Drug 1831                                                                                                                        Cc1cc2c(C)c3ccccc3nc2c2ccccc12 1
Drug 1740                                                                                                                                   Cc1ccc2oc(=O)ccc2c1 0
  Drug 94                                                                                                                    OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1 1
Drug 6278                                                                                                                     O=[N+]([O-])c1ccc(/C=N/n2cccn2)o1 1
Drug 1395                                                                                              C[N+]([O-])=NC[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O 0
Drug 3486                                                                                                                            NC(CCCCNCC(N)C(=O)O)C(=O)O 0
Drug 7531                                                                              CNC1CC(OC2CC(O)(C(C)=O)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)OC(C)C1O 1
Drug 6809                                                                                                                  CCC(C)NC(=O)C=Cc1ccc([N+](=O)[O-])o1 1
Drug 7244                                                                                                                                         CCN(CC)C(=S)S 0
Drug 5355                                                                                                                                c1ccc2c(c1)ccc1ncccc12 1
Drug 1111                                                                                                              O=C(/C=C/c1ccccc1)c1ccc([N+](=O)[O-])cc1 1
Drug 7186                                                                                                    COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2 0
Drug 1824                                                                                                                      Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1 0
Drug 2725                                                                                                                              Nc1ccc2nc3c(N)cccc3nc2c1 1
Drug 6796                                                                                                                                              CC=CCC=O 1
Drug 6862                                                                                                     NC(CCC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 1391                                                                                                                                           COc1ccccc1O 0
  Drug 49                                                                                                                                     CCSCCSP(=O)(OC)OC 0
Drug 2801                                                                                                                                  CC(C)(C)[N+](=O)[O-] 0
 Drug 704                                                                                                                      CC(=O)Oc1ccc2c(c1)C1(C)OOC1(C)O2 1
Drug 3567                                                                                                                                           CCCCCCC1CO1 0
Drug 5696                                                                                                                                  O=C(/C=N/O)Nc1ccccc1 0
Drug 1730                                                                                                                                Nc1nc2c(s1)CCC1NCCCC21 0
Drug 2460                                                                                        COc1cc(N=Nc2ccc(N)cc2)c(C)cc1N=Nc1c(S(=O)(=O)O)cc2ccc(N)cc2c1O 1
  Drug 43                                                                                                                                        CCOC(=O)C(C)Br 1
Drug 1953                                                                                                                                      Cc1ncc2c(n1)CCC2 0
Drug 2159                                                                                                                                       O=C/C=C/C=C/C=O 1
Drug 6197                                                                                                                   Cc1cc(C)c2nc3c(ccc4ccccc43)c(C)c2c1 1
Drug 2222                                                                                           OC1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl 0
Drug 3092                                                                                                                  O=C(O)c1c[n+]([O-])c2ccccc2[n+]1[O-] 1
Drug 7515                                                   CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(O)(C2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(C)(O)C1O 0
Drug 6046                                                                                                                                   c1ccc(Nc2ccccc2)cc1 0
Drug 1043                                                                                                                   CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1 1
Drug 3774                                                                                                                                               CC(N)=O 0
 Drug 178                                                                                                                O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1 1
Drug 7095                                                                                                                                           CCCCC(CC)CN 0
Drug 1629                                                                                                                             ClNc1ccc2c(c1)Cc1ccccc1-2 1
Drug 4410                                                                                                                                             CCCC(C)=O 0
Drug 6154                                                                                                                         CCCCCN1C2c3ccccc3-c3ccccc3C21 1
Drug 2942                                                                                                                             Nc1ccc2c(n1)[nH]c1ccccc12 1
Drug 3013                                                                                                                          CCCCON(OC(C)=O)C(=O)c1ccccc1 1
Drug 6623                                                                                                                                      CC(I)C1OCC(CO)O1 1
Drug 1255                                                                                                                                   O=CN(O)c1cccc(Cl)c1 0
 Drug 281                                                                                                     COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1 0
Drug 6023                                                                                                                                 CN(CCO)C(=O)Nc1ccccc1 0
Drug 6177                                                                                                                    CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OCC 1
Drug 1549                                                                                                                                     C1COCCOCCOCCOCCO1 0
Drug 1037                                                                        Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65 0
 Drug 701                                                                                                                         O=C(O)COc1ccc(N(CCCl)CCCl)cc1 1
Drug 3988                                                                                                                     O=[N+]([O-])c1ccc(N=Nc2ccccc2)cc1 1
Drug 1325                                                                                                                                 COc1cc(OC)c(OC)cc1C=O 0
Drug 4794                                                                                                      O=C(COc1ccc(Cl)cc1Cl)NC(Cc1c[nH]c2ccccc12)C(=O)O 0
Drug 5366                                                                                                                                           N#C/C=C\C#N 0
Drug 2983                                                                                                                     O=[N+]([O-])c1ccc2c3c(cccc13)C=C2 1
Drug 5515                                                                                                                          C(=N/c1snc2ccccc12)\c1ccccc1 0
Drug 4645                                                                                                                                        C=Cc1ccc(C)cc1 0
Drug 2349                                                                                                                                   COP(=O)(OC)N1CCOCC1 0
Drug 3278                                                                                                                             COC1OC(=O)C(Cl)=C1C(Cl)Cl 1
Drug 6339                                                                                              O[C@H]1c2cccc3c2[C@@]2(O[C@@H]2[C@@H]1O)c1ccc2ccccc2c1-3 1
 Drug 489                                                                                                              CC1CC2c3cc(Br)cc4c3c(cn4CC3CC3)CC2N(C)C1 0
Drug 1307                                                                                                                                      c1ccc2[nH]nnc2c1 1
Drug 2892                                                                                                          O=c1c(=O)c2c([N+](=O)[O-])ccc3ccc4cccc1c4c32 1
Drug 6270                                                                                                              CC1=CC(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C12C 0
Drug 4300                                                                                                                                      OC(O)C(Cl)(Cl)Cl 1
Drug 7029                                                                                                                                         C=[N+]([O-])O 0
Drug 6119                                                                                                    CC(=O)OC1COC(Nc2ccc(C(=O)O)cc2)C(OC(C)=O)C1OC(C)=O 0
Drug 1510                                                                                                                                        ClCC(Cl)(Cl)Cl 0
Drug 2138                                                                                                                                        Cc1cccc(NO)c1C 1
Drug 1225                                                                                                                      CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 2075                                                                                                                                  Nc1cc(Cl)c(N)c(Cl)c1 1
Drug 4895                                                                                                                     O=C1NC(=O)c2cc([N+](=O)[O-])ccc21 1
Drug 4816                                                                                                  COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2 1
Drug 6317                                                                                                                   C1CCC2OCCOCCOC3CCCCC3OCCOCCOCCOC2C1 0
 Drug 171                                                                                                              COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl 1
Drug 6649                                                                                                                                          CC1CNCC(C)O1 1
 Drug 140                                                                                                               CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1 1
Drug 5853                                                                                                             Oc1ccc2c(c1)-c1cc3ccccc3c3cc4ccccc4c-2c13 1
Drug 6751                                                                                                                           COc1ccc(Cc2cnc(N)nc2N)cc1OC 1
Drug 3224                                                                                                                     O=C(O)C(=O)Nc1cccc(-c2nn[nH]n2)c1 0
Drug 3394                                                                                                                                    Nc1ccc(CC(=O)O)cc1 1
Drug 5254                                                                                                            CCCCON(OC(C)=O)C(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 6006                                                                                                             O=[N+]([O-])c1cc2c3c(c1)CCc1cccc(c1-3)CC2 1
 Drug 931                                                                                                                     Cn1c(N=[N+]=[N-])nc2c3ccccc3ccc21 1
Drug 4030                                                                                                             CC1(C)CCCC2(C)C1CCC1(C)C(C=O)C(C=O)=CCC12 0
Drug 6156                                                                                                                       Cc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
Drug 4110                                                                                                                                   NCCc1c[nH]c2ccccc12 0
 Drug 398                                                                                                                                   Cc1c(Cl)cnc2ccccc12 0
Drug 3111                                                                                                                                   O=C(Cl)c1cccc(Cl)c1 1
Drug 2430                                                                                                                             O=C1NC(=O)C(Cl)C1=C(Cl)Cl 1
Drug 3084                                                                                                                                       CN(C)C(=N)N(C)C 0
Drug 1638                                                                                                                     BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43 1
Drug 5088                                                                                                              N/C(=N\OC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1 0
Drug 3502                                                                                                                                CC(=O)N=C1C=CC(=O)C=C1 0
Drug 2733                                                                                                                        Cc1nc2c(C)cc3c(nc(N)n3C)c2nc1C 1
Drug 6918                                                                                                                                   CC(O)CN(CC(O)CO)N=O 1
Drug 6051                                                                                                                                       O=Nc1ccc(NO)cc1 1
Drug 4028                                                                                                                CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12 0
 Drug 141                                                                                          C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C 0
Drug 3691                                                                                                                                     CC(C)CC(=O)CC(C)C 0
Drug 5387                                                                                                             OCCN(CCO)c1ccc(N=Nc2ccc(N(CCO)CCO)nc2)cc1 0
Drug 6338                                                                                                                      CC(C)CC(=O)OCc1cocc2c(C=O)ccc1-2 1
Drug 5543                                                                                                                 CC[C@@]1(CC(=O)O)OCCc2c1n(C)c1ccccc21 0
Drug 2636                                                                                                                 CN(C)CCNC(=O)c1cccc2cc(-c3ccccc3)oc12 1
Drug 3941                                                                                                                       CC(C)c1cc(N)c([N+](=O)[O-])cc1N 1
Drug 7009                                                                                                                                          CCCCC(C=O)CC 0
Drug 3836                                                                                                                                         Oc1cccc(O)c1O 1
Drug 4068                                                                                              CC(=O)OC1COC(Nc2ccc([N+](=O)[O-])cc2)C(OC(C)=O)C1OC(C)=O 1
Drug 1018                                                                                                                                         C=C(Br)C(C)=O 1
Drug 5129                                                                                                                      CC(=O)ON(C)c1ccc(N=Nc2ccccc2)cc1 1
Drug 7544                                                                                                                                          CC1CCCCN1N=O 1
Drug 2219                                                                                                             O=S(=O)(O)Oc1c2ccccc2c2ccc3cccc4ccc1c2c43 0
Drug 6581                                                                                                                                    CN(N=O)C(=N)NN(O)O 1
Drug 2644                                                                                                                                  CC(=O)OCN(CCCCCl)N=O 1
 Drug 968                                                                                                                                   CC(=O)N(O)c1ccccc1C 1
Drug 2601                                                                                                                     Cn1c(N=[N+]=[N-])nc2ccc3ccccc3c21 1
Drug 3635                                                                                                                                                CC1CS1 0
Drug 1124                                                                                                                  NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O 1
Drug 4125                                                                                              COc1cc2c(c3oc(=O)c4c(c13)CC[C@@H]4O)[C@@H]1C=CO[C@@H]1O2 1
 Drug 652                                                                                                                                                   CCN 0
Drug 3652                                                                                                                                O=Nc1ccc(Oc2ccccc2)cc1 1
Drug 6662                                                                                                                                      OOC1CCCc2ccccc21 1
Drug 1655                                                                                                                              COc1ccc([N+](=O)[O-])cc1 1
Drug 4467                                                                                                         O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CCC4 1
Drug 5684                                                                                                                            COC(=O)C1=C(C)C(C)(O)OC1=O 0
