Drug 5999                                                                                                                                                     CCn1c(N)nc2c3cccnc3cc(C)c21 1
Drug 5323                                                                                                                                             O=C(CBr)c1oc([N+](=O)[O-])c(Cl)c1Cl 1
Drug 6101                                                                                                                                                CC(C)c1cc(-c2ccccc2)cc(C(C)C)c1N 0
Drug 2702                                                                                                                                                                     Oc1ccccc1Cl 0
Drug 3940                                                                                                                                                              Nc1nc2c(Cl)cccc2s1 0
Drug 3314                                                                                                                                                              CCOP(=O)(C#N)N(C)C 0
Drug 4517                                                                                                                                                     Cc1cc(N=Nc2ccccc2C)c(N)cc1N 1
Drug 7546                                                                                                                                                           c1cc2c(cc1CC1CO1)OCO2 1
Drug 3331                                                                                                                                                                    CSCNc1ccccc1 1
Drug 3118                                                                                                                                                            Nn1c2ccccc2c2cnccc21 1
Drug 2635                                                                                                                                                 Oc1cc2cccc3ccc4c5ccccc5cc1c4c32 1
Drug 2279                                                                                                                                                              O=C(O)[C@@H]1CSCN1 0
Drug 4054                                                                                                                                               CC(=O)c1oc([N+](=O)[O-])c(Cl)c1Cl 1
Drug 1568                                                                                                                                                 CCC(=O)OCc1ccc([N+](=O)[O-])cc1 1
Drug 5166                                                                                                                                                              COc1cc(N)c(OC)cc1N 1
Drug 5675                                                                                                                                                               O=C(O)/C=C\C(=O)O 0
Drug 6643                                                                                                                                                                      CCCC=CCC=O 1
Drug 4624                                                                                                       O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])c([N+](=O)[O-])c2)c([N+](=O)[O-])c1 1
Drug 3302                                                                                                                                            O=[N+]([O-])c1ccc2c(c1)[nH]c1ccccc12 1
 Drug 139                                                                                                                                                    OCc1cc2ccc3cccc4ccc(c1)c2c34 1
Drug 3504                                                                                                                O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5 1
Drug 5943                                                                                                                                   CCn1cc(C(=O)O)c(=O)c2cc(F)c(-c3ccncc3)c(F)c21 0
Drug 6358                                                                                                                                                                   Cc1cccc(C)c1O 0
Drug 6453                                                                                                                                                          CCCCCN(N=O)C(=N)NN(O)O 1
Drug 6895                                                                                                                                            CCC(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1 1
 Drug 603                                                                                                                                                            CCCCCCCCCc1ccc(O)cc1 0
Drug 1842                                                                                                                                                            COc1cccc(CN(C)N=O)c1 1
Drug 1612                                                                                                                                     Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 3293                                                                                                                                                             O=[N+]([O-])C1CCCC1 1
Drug 6387                                                                                                                                                   CN1C=CN(CCS(C)(=O)=O)C1/C=N/O 0
Drug 1001                                                                                                                                                            CNc1ccc2nc(C)cnc2c1C 1
Drug 2575                                                                                                                                                                  N=C(N)c1ccccc1 0
Drug 7110                                                                                                                                        COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC1=O 0
Drug 6072                                                                                                                                                c1ccc2c([C@@H]3CO3)c3ccccc3cc2c1 1
Drug 7077                                                                                                                                                  OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O 0
Drug 1246                                                                                                                                                    Brc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 3453                                                                                                                    Nc1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1 0
Drug 3097                                                                                                                                                 O=[N+]([O-])c1ccc(Sc2ccccc2)cc1 1
Drug 1983                                                                                                                                                CN(C)c1ccc(N=Nc2cccc3ccccc23)cc1 1
Drug 6372                                                                                                                                                    COP(=S)(OC)Oc1ccc(N=O)c(C)c1 1
Drug 5762                                                                                                                                                            O=C1C=CC(=O)C(Cl)=C1 0
  Drug 66                                                                                                                                                     c1cc2c3c(c1)ccc1cccc(c13)C2 1
Drug 7379                                                                                                                                                       CC(=O)OC(c1ccccc1)N(C)N=O 1
Drug 6891                                                                                                                                           O=[N+]([O-])c1ccc2c(c1)C(O)c1ccccc1-2 1
Drug 3645                                                                                                                                  O=[N+]([O-])c1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12 1
Drug 1779                                                                                                                                                             CC(C)(Cl)OC(C)(C)Cl 1
Drug 5834                                                                                                                                 NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 7050                                                                                                                                                      CCCCCCCCCC=CCC1CC(=O)OC1=O 0
Drug 3972                                                                                                                                         Cc1ccc(/N=C/N=C/N(C)c2ccc(C)cc2C)c(C)c1 0
Drug 6635                                                                                                                                                                     CCCCOCC1CO1 1
Drug 1062                                                                                                                                              Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O 0
Drug 2420                                                                                                                                                                  C1CCC2(CC1)CO2 0
Drug 2055                                                                                                                                               CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1 0
 Drug 299                                                                                                                                               N#C/C(=C\C=C\c1ccccc1)c1ccc(F)cc1 1
Drug 1609                                                                                                                                                c1cc2c3c(cccc3c1)[C@H]1N[C@@H]21 1
Drug 5687                                                                                                                                                              Clc1cc(Cl)cc(Cl)c1 0
Drug 1907                                                                                                                                                                      CCc1cnccn1 0
Drug 4913                                                                                                                                                        CNC(=O)c1c(N(C)N=O)ncn1C 0
Drug 4440                                                                                                                                                  O=C1NCCN1c1ncc([N+](=O)[O-])s1 1
Drug 4924                                                                                                                                                CCCC(=O)OCc1cccc([N+](=O)[O-])c1 0
Drug 7083                                                                                                                                                            C=C(C)C(=O)OCCCCCCCC 0
Drug 1160                                                                                                                                                    Cc1cc2c(C)c3ccccc3c(C)c2cc1C 1
 Drug 431                                                                                                                                           CN(C)CCNC(=O)c1cccc2oc(-c3ccccc3)nc12 0
Drug 6613                                                                                                                                                                     ClCC(Br)CBr 1
Drug 2196                                                                                                                                                                Clc1cccc2ncccc12 1
Drug 5191                                                                                                                                              Cc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6087                                                                                                                                                                O=NN1CC(=O)NC1=O 1
Drug 7074                                                                                                                                                   N=c1ccn2c(n1)OC1C(O)C(CO)OC12 0
Drug 4089                                                                                                                                                  CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 1440                                                                                                                                             O=C(Nc1ccccc1)c1csc([N+](=O)[O-])c1 1
Drug 2562                                                                                                                                                       CC(C)c1cc(-c2ccccc2)ccc1N 1
 Drug 783                                                                                                                                                                    CC[C@@H](C)N 0
Drug 2649                                                                                                                                CC(=O)Nc1nc(NC(C)=O)nc(-c2ccc([N+](=O)[O-])o2)n1 1
Drug 7155                                                                                                                                       CC1CC2OC3C(O)CC(C)(C34CO4)C2(CO)C(=O)C1=O 0
Drug 7331                                                                                                                                              C1=CC2OC2c2c1cc1ccc3cccc4ccc2c1c34 1
Drug 4500                                                                                                                                            Cc1cnc2ccc3c(nc(NS(=O)(=O)O)n3C)c2n1 0
Drug 4150                                                                                                                                               OC1c2ccccc2-c2cc3ccccc3c(Br)c2C1O 0
Drug 4803                                                                                                                                                           CC1(C)C2CCC1(C)C(O)C2 0
Drug 3452                                                                                                                                                                    CC1(C)COC1=O 1
Drug 5600                                                                                                                                                                  Cc1cccc(N=O)c1 0
Drug 3511                                                                                                                                                              O=C1C=C(CCl)C(O)O1 1
Drug 4997                                                                                                                                         O=[N+]([O-])c1ccc(/C=N/c2snc3ccccc23)o1 1
Drug 3268                                                                                                                                         CC1(c2ccccc2)/C(=N/c2ccccc2)c2ccccc2N1O 0
Drug 3288                                                                                                                                                               O=C(Cl)OCc1ccccc1 0
Drug 5032                                                                                                                                                      Cc1nc(O)c(C#N)cc1-c1ccncc1 0
Drug 6681                                                                                                                                        COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1CCOC1O2 1
Drug 3795                                                                                                                                                                  O=Cc1ccc(CO)o1 1
Drug 6120                                                                                                                                                                  CCN(N=O)C(N)=O 1
Drug 3667                                                                                                                                             Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-] 1
Drug 3000                                                                                                                                                                 Oc1cccc2cccnc12 1
Drug 2841                                                                                                                                                                  CC(O)C(=O)NCCO 1
Drug 3938                                                                                                                                                     O=C(Cl)c1ccccc1[N+](=O)[O-] 1
Drug 1913                                                                                                                                                         O=S(=O)(O)ONNCCc1ccccc1 1
 Drug 596                                                                                                                                                                     O=NN1CCCCC1 1
Drug 6480                                                                                                                                           O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl 0
Drug 5859                                                                                                                                                                  C[C@@H](Br)CBr 1
Drug 2832                                                                                                                                               CN(C)CCNC(=O)c1cccc2c1ncc1ccccc12 1
Drug 3106                                                                                                                                                   CC(=O)N(O)c1ccc(Sc2ccccc2)cc1 1
Drug 6142                                                                                                                                                O=C1NC(=S)NC(=O)C1C(=O)Nc1ccccc1 0
 Drug 404                                                                                                                                               O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1 0
Drug 1636                                                                                                                                                         Nc1ccc2c(c1)Cc1ccccc1-2 1
Drug 5233                                                                                                                                                                          C=CC#N 1
Drug 5811                                                                                                                                 O=C(O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 6927                                                                                                                                          OC1C=Cc2c(ccc3c4c5c(cccc5cc23)C=C4)C1O 1
 Drug 121                                                                                                                                                      Cc1cc(S(=O)(=O)O)c(N)cc1Cl 1
Drug 6065                                                                                                                                       Cn1c(-c2ccccc2)c(N=Nc2scc[n+]2C)c2ccccc21 1
Drug 4603                                                                                                                                                   COc1ccc2c(OC)c3c(nc2c1OC)OCC3 1
 Drug 686                                                                                                                                                               O=C(O)Cc1ccccc1Cl 0
Drug 2346                                                                                                                                                          O=Nc1[nH]cnc1-c1ccccc1 1
Drug 5537                                                                                                                                                                    C=CC(=O)OCCO 0
Drug 4317                                                                                                                                                      CCCC(=O)Nc1snc2ccc(Cl)cc12 0
Drug 2429                                                                                                                                                           CC(=O)NNC(=O)c1ccccn1 0
Drug 1369                                                                                                                                                          Nc1ncc([N+](=O)[O-])s1 1
 Drug 558                                                                       CN1C[C@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21 0
Drug 4114                                                                                                                                                    CCCCN1C2c3ccccc3-c3ccccc3C21 1
 Drug 215                                                                                                                                                                     N#CCCNCCC#N 0
Drug 5261                                                                                                                                                                     CNCCCC(=O)O 0
Drug 4999                                                                                                                                                       Brc1ccc2c(c1)C=CC1CCCCC21 0
Drug 6593                                                                                                                             C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O 0
Drug 2955                                                                                                                                             C1=Cc2cc3cccc4c5ccccc5c5ccc1c2c5c34 1
Drug 3056                                                                                                                                                Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1 1
Drug 5897                                                                                                                                                       Cc1cccc(-c2nc3ccccc3o2)c1 0
Drug 4698                                                                                                                                                                   OCC(CO)(CO)CO 0
 Drug 411                                                                                                                                    C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1 0
Drug 1908                                                                                                                                                Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1 1
Drug 6826                                                                                                                          COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(O)ccc(O)c3oc2c1 1
   Drug 1                                                                                                                                    O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2 1
Drug 2779                                                                                                                                                                       CCCCC1CO1 0
Drug 2034                                                                                                                               O=c1[nH]c(=O)n([C@H]2C[C@@H](O)[C@@H](CO)O2)cc1CO 1
Drug 6562                                                                                                                                  ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl 0
Drug 1036                                                                                                                                                            CC1(c2ccc(Br)cc2)CO1 0
Drug 1208                                                                                                                                                     COc1ccc([N+](=O)[O-])ccc1=O 1
Drug 2554                                                                                                                                                   CCC1(C(C)O)OC1(C(N)=O)C(=O)OC 0
Drug 4057                                                                                                                                                               CCCNc1snc2ccccc12 0
Drug 1924                                                                                                                                                        C#CCOCC[n+]1ccccc1/C=N/O 0
Drug 2943                                                                                                                                                          O=C(O)CCCC[C@@H]1CCSS1 0
Drug 4855                                                                                                                                                   O=C/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 4162                                                                                                                                                   CC(C)N1C(=O)c2ccccc2NS1(=O)=O 0
Drug 2895                                                                                                                                                   O=C1CCC(=O)N1c1cc(Cl)cc(Cl)c1 0
Drug 5770                                                                                                                                                      c1ccc2c(c1)C1OOC2c2ccccc21 0
Drug 1308                                                                                                                                                      CC(=O)/C=C\c1ccc2c(c1)OCO2 0
Drug 6789                                                                                                                                                    CN(C)c1ccc(N=NS(=O)(=O)O)cc1 1
Drug 2931                                                                                                                           COCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1 0
 Drug 532                                                                                                                                          CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O 1
Drug 1551                                                                                                                                      O=[N+]([O-])c1ccc2ccc3cccc4c5ccccc5c1c2c34 1
Drug 6782                                                                                                                                      O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O 1
Drug 3547                                                                                                                                                                             CCl 1
Drug 1358                                                                                                                                           CC(=O)OCc1c2ccccc2c(C)c2c1ccc1ccccc12 1
Drug 3144                                                                                                                                             O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br 0
Drug 5410                                                                                                                                  Cc1[nH]c2c(c3nc4ccccc4c1-3)C(=O)C(N1CC1)=CC2=O 1
 Drug 725                                                                                                                                                                   CN(C)c1ccccc1 0
Drug 2247                                                                                                                                               Oc1ccc2c(c1)cc1ccc3cccc4ccc2c1c34 1
Drug 6304                                                                                                                                                  CC(C)=C/C(C)=N/Nc1nncc2ccccc12 1
Drug 7402                                                                                                                                                            CC1CN(N=O)C(C)CN1N=O 1
Drug 3955                                                                                                                            O=[N+]([O-])c1ccc(N/N=C(/N=Nc2ccc(I)cc2)c2ccccc2)cc1 0
Drug 6942                                                                                                                                                     CCCN(C(N)=NN=O)[N+](=O)[O-] 1
Drug 2684                                                                                                                                                      O=C1C=CC(=O)C(c2ccccc2)=C1 0
Drug 2756                                                                                                                                                              Fc1cnc2cccc(F)c2c1 0
Drug 3431                                                                                                                                                          c1ccc2c(c1)Nc1ccccc1S2 0
Drug 7075                                                                                                                       O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1 0
  Drug 30                                                                                                                                                              CCNc1nc(N)nc(Cl)n1 0
 Drug 647                                                                                                                                                                           C=CCO 0
 Drug 164                                                                                                                                                           Clc1cccc2oc3ccccc3c12 0
Drug 5103                                                                                                                                                         Nc1ncnc2c1ncn2Cc1ccccc1 1
Drug 3199                                                                                                                                             CC(C)C(O)(C(=O)OCC1CCN2CCCC12)C(C)O 0
 Drug 675                                                                                                                   COC(O)=C1C(C)=NC(COC(N)=O)=C(C(=O)OC(C)C)[C@H]1c1cccc(Cl)c1Cl 0
Drug 4303                                                                                                                                 O=[N+]([O-])c1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
  Drug 52                                                                                                                                                                      Brc1ccccc1 0
Drug 3172                                                                                                                                NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1 0
Drug 1683                                                                                                                              CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C 0
Drug 4369                                                                                                                                                      COc1ccc2cc(CCC(C)=O)ccc2c1 0
Drug 3591                                                                                                                                                                       CC(C)(C)N 0
Drug 4710                                                                                                                                                    CNc1ccc(N=Nc2ccc3ncsc3c2)cc1 1
Drug 6010                                                                                                                                   CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O 1
Drug 4032                                                                                                                                                  CN(C)CCN(Cc1ccc(O)cc1)c1ccccn1 0
Drug 5292                                                                                                                                                      CCNC(=N)N(N=O)[N+](=O)[O-] 1
Drug 2051                                                                                                                                          Cc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1 1
Drug 7416                                                                                                                                          C=C1C(=O)OC2CC(C)C3CC(O)OC(O)C3(C)CC12 1
Drug 2262                                                                                                  C[C@@H]1C[C@H]2OC(=O)[C@]3(C)[C@H]2[C@@H](O[C@]3(C)O)[C@@]2(C)C(=O)C=C[C@@H]12 0
Drug 6582                                                                                                                                   CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O 0
Drug 1341                                                                                                                                                    COc1ccc(C(=O)c2ccccc2)c(O)c1 0
Drug 3479                                                                                                                                  O=[N+]([O-])c1c2c3c(ccc4cccc(c43)CC2)c2ccccc12 1
Drug 2093                                                                                                                                                             O=C(n1ccnc1)n1ccnc1 0
 Drug 787                                                                                                                                                                   CCCCN(CCC)N=O 1
Drug 1007                                                                                                                                                         Cc1ccc([N+](=O)[O-])cc1 0
Drug 5452                                                                                                                                                   BrCc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 5782                                                                                                                                                        CC(C)OC1OC(=O)C(Cl)=C1Cl 1
Drug 3507                                                                                                                                           COc1cc([N+](=O)[O-])c(O)c(C(C)(C)C)c1 0
 Drug 728                                                                                                                                                          O=C(O)c1ccc(C(=O)O)cc1 0
Drug 4900                                                                                                                                                            CCC(Cl)CC(Cl)CC(C)Cl 0
Drug 3696                                                                                                                                                        CC1c2ccccc2-c2ccc(F)cc21 1
Drug 7389                                                                                                                                 CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 6329                                                                                                                                                 Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2 1
Drug 4420                                                                                                                                                C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1 0
Drug 3536                                                                                                                                                              CC12OOC1Oc1ccccc12 1
Drug 6138                                                                                                                                                  OC1c2cccc3ccc4c5ccccc5cc1c4c23 1
 Drug 220                                                                                                                                                                Clc1ccnc2ccccc12 1
Drug 4789                                                                                                                                         O=[N+]([O-])c1ccc2cc(O)c3cccc4ccc1c2c43 1
Drug 3514                                                                                                                                                    CC(C(=O)O)c1ccc(Oc2nccs2)cc1 0
Drug 2170                                                                                                                          CC(=O)N(Nc1ccc2c(c1)Cc1ccccc1-2)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 6722                                                                                                                                                                       CCOCC1CO1 1
Drug 2890                                                                                                                                                                 C[C@H]1CC(=O)O1 1
Drug 6394                                                                                                                                                            FC(F)(F)c1ccc(Cl)cc1 0
Drug 7149                                                                                                                                    CC1CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(=O)C1=O 0
Drug 3489                                                                                                                                                       CNNCc1ccc(C(=O)NC(C)C)cc1 0
Drug 1976                                                                                          Cc1cc(O)c2c(c1)C(=O)C13C(=C2O)C(=O)C2C(O)C1C1C(O)C3C(=O)C3=C(O)c4c(O)cc(C)cc4C(=O)C321 0
Drug 1679                                                                                                                                        CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1 1
Drug 4100                                                                                                                                                                  Cc1cc(Cl)ccc1O 0
Drug 5955                                                                                                                                                                   Cc1ccc(N)cc1C 1
Drug 5883                                                                                                                                                              CCN(CC)c1cccc(O)c1 1
Drug 2826                                                                                                                           O=C(CCCCl)/N=c1\sn(C(=O)CCCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 5826                                                                                                                                                         CCOS(=O)(=O)c1ccc(C)cc1 1
 Drug 662                                                                                                                                                           CCOC(=O)CNC(=O)C(C)Br 1
Drug 3358                                                                                                                                             CCCCOc1ccc(N=Nc2ccc(N(CC)CC)cc2)cn1 1
Drug 3805                                                                                                                                                   O=C(Cl)c1ccc([N+](=O)[O-])cc1 1
Drug 5344                                                                                                                                                 Cc1cccc2c1-c1cc3ccccc3cc1C1NC21 1
Drug 6028                                                                                                                                   CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1 0
Drug 4716                                                                                                                                       O=[N+]([O-])c1ccc2c(c1)CCc1c-2ccc2c1CCCC2 1
 Drug 545                                                                                                                                     O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1ccc(O)cc1 1
 Drug 316                                                                                                                                                    CCc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 4359                                                                                                                                                           CC(C)COC(=O)c1ccccc1N 0
Drug 5742                                                                                                                                                          c1ccc(SCCSc2ccccc2)cc1 0
Drug 1403                                                                                                                                                     Oc1ccc2ccc3c4ccccc4ccc3c2c1 1
Drug 7272                                                                                                                                                               NC1=NC(C(=O)O)CS1 0
Drug 1524                                                                                                                                                O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1 1
Drug 2944                                                                                                                                                Cc1cccc(N=Nc2c(O)ccc3ccccc23)c1C 0
Drug 2543                                                                                                                                            O=c1oc2ccc([N+](=O)[O-])cc2c2ccccc12 1
 Drug 602                                                                                                                                         O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccc(Cl)cc1 0
Drug 4143                                                                                                                                             O=C(OCc1ccc(Cl)cc1Cl)c1cccc2cccnc12 0
Drug 2281                                                                                                                                                 Cc1ccc2c(CO)c3ccc4ccccc4c3nc2c1 0
Drug 7175                                                                                                                                         Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 6132                                                                                                                                   CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O 0
Drug 4923                                                                                                                                                   O=C1Nc2ccc(S(=O)(=O)O)cc2C1=O 1
Drug 5735                                                                                                                                                            C/C=C/C1OC(=O)C=CC1O 0
Drug 6750                                                                                                                                       O=[N+]([O-])c1c2c(cc3ccccc13)C(O)C(O)C=C2 1
 Drug 891                                                                                                                                                         O=Cc1ccccc1[N+](=O)[O-] 1
Drug 5397                                                                                                                                                                BrCc1ccc(CBr)cc1 0
Drug 3354                                                                                                                                                                  NC(=S)NNC(N)=S 0
Drug 1272                                                                                                                          O=C(/C=C/c1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])cc1 1
Drug 2359                                                                                                                                            Cc1cc(=O)oc2cc3c(cc12)C1(C)OOC1(C)O3 1
Drug 1173                                                                                                                                              c1ccc2c(c1)Cc1c-2ccc2ccc3ccccc3c12 1
