Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 6306                                                                                                O=[N+]([O-])c1ccc2c(c1)-c1ccc([N+](=O)[O-])c3cccc-2c13 1
Drug 3235                                                                                                                                    FC(F)(Cl)C(F)(F)Cl 0
 Drug 750                                                                                                                   Cc1c2ccccc2c(COS(=O)(=O)O)c2ccccc12 1
Drug 6853                                                                                                                 CN(C)CCNC(=O)n1c2ccccc2c(=O)c2ccccc21 1
Drug 2464                                                                                                                                          CCOc1ccccc1N 0
Drug 1929                                                                                                                                  Cn1c(N)nc2cc(O)ccc21 0
Drug 4530                                                                                                                                  CC1=C(O)C(=O)C(O)CO1 1
Drug 1629                                                                                                                             ClNc1ccc2c(c1)Cc1ccccc1-2 1
Drug 1029                                                                                                                                            CCC1(C)CO1 0
 Drug 725                                                                                                                                         CN(C)c1ccccc1 0
 Drug 234                                                                                                                 OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O 1
 Drug 759                                                                                                                              CS(=O)(=O)c1ccc(O)c(N)c1 0
Drug 1027                                                                                                       C[C@H]1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 5854                                                                                                                                     O=C(Cl)c1ccccc1Cl 1
Drug 6591                                                                                                            ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl 0
Drug 2599                                                                                                                                      FC(F)(F)c1ccccc1 0
Drug 4419                                                                                                                        O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl 0
Drug 6016                                                                                                                            CCN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 3561                                                                                                                                    COc1nsc2cc(N)ccc12 1
 Drug 848                                                                                                           O=[N+]([O-])C1=Cc2c3c1cccc3cc1ccc3ccccc3c21 1
Drug 5301                                                                                                                                  CC(Br)C(=O)NC(C)(C)C 0
Drug 4259                                                                                                                                   O=Nc1cc2c(cc1O)OCO2 1
Drug 5327                                                                                                                  Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1 0
Drug 1930                                                                                                                    CS(=O)(=O)N1C2c3ccccc3-c3ccccc3C21 1
Drug 1849                                                                                                                                   CC(=O)C(=O)c1ccccc1 0
Drug 4319                                                                                                                       CC(C)c1cc(N)cc([N+](=O)[O-])c1N 0
Drug 6243                                                                                                              O=C1OC2C(O)COC2(O)C1(O)Cc1c[nH]c2ccccc12 0
Drug 6754                                                                                                             CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1 1
Drug 3885                                                                                                                                      Cc1ccc(NO)c(C)c1 1
Drug 1862                                                                                                                  O=Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O 0
Drug 6730                                                                                                                 OC1C=Cc2cc3c(cc2C1O)-c1cccc2cccc-3c12 1
Drug 1228                                                                                                                           COP(=S)(OC)Oc1ccc(SC)c(C)c1 0
 Drug 893                                                                                                                 C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C 0
Drug 4763                                                                                                                                     CCCCCCCCCCCC(C)=O 0
Drug 4425                                                                                                                                CCCC(=O)Nc1snc2ccccc12 0
 Drug 656                                                                                                                                      O=C1OCC(Br)=C1Br 1
Drug 4137                                                                                                                      Cn1c2ccc3ccccc3c2c2c3ccccc3ccc21 1
Drug 4354                                                                                                                   C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C 0
Drug 2740                                                                                                                                 CC12OOC1(C)c1ccccc1O2 1
Drug 1118                                                                                                                         Cc1cnc2c(cc(C)c3c2nc(N)n3C)n1 1
Drug 5827                                                                                                                                         CC(=O)OC(C)=O 0
 Drug 693                                                                                                                             CC(Br)C(=O)NCc1ccc(Cl)cc1 1
Drug 1725                                                                                                                                       BrCc1ccc(Br)cc1 0
Drug 1236                                                                                                                                   C=CCc1ccc(O)c(OC)c1 0
Drug 4178                                                                                                              c1ccc2c(c1)-c1cc3ccccc3c3cc4ccccc4c-2c13 1
Drug 1481                                                                                                                                 CCCCOC(=O)c1ccc(O)cc1 0
Drug 4691                                                                                                                        OCCN(CCO)c1ccc(N=Nc2cccnc2)cc1 0
 Drug 793                                                                                                                                Cc1cc(=O)oc2cc(N)ccc12 0
Drug 6412                                                                                                                         O=Nn1cc(CC(O)C(=O)O)c2ccccc21 1
Drug 6192                                                                                                                                      NNc1nncc2cnccc12 1
Drug 2702                                                                                                                                           Oc1ccccc1Cl 0
Drug 3793                                                                                                          CCCCCCCCCCCCCC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 3527                                                                                                                        CC/C=C/C=C/C=C/C=C/C=C/OCC(C)O 1
Drug 2777                                                                                                                                        O=S1(=O)CC=CC1 0
Drug 5017                                                                                                                  COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC 1
 Drug 340                                                                                                                    CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3 1
Drug 2292                                                                                                                  CC(=O)OC1C(=O)OC2C(OC(C)=O)C(=O)OC12 0
Drug 3021                                                                                                                           Cc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 5529                                                                                                     CC1CC2(OC2C)C(=O)OC2CCN(C)CC=C(COC(=O)C1(C)O)C2=O 1
  Drug 47                                                                                                                              CCO[P@](=S)(CC)Sc1ccccc1 0
Drug 1072                                                                                                                                       Fc1cccc2cccnc12 1
Drug 5216                                                                                                                 O=C(Nc1ccccc1Br)c1csc([N+](=O)[O-])c1 1
Drug 2894                                                                                                                             O=C(O)C=C(C(Cl)Cl)C(Cl)Cl 1
Drug 2358                                                                                                                                       NC(=O)N(CCO)N=O 1
Drug 3536                                                                                                                                    CC12OOC1Oc1ccccc12 1
Drug 3445                                                                                                                          NC(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 5322                                                                                                        CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21 1
Drug 2195                                                                                                                              CCC1=C(C(=O)OC)C(=O)OC1C 1
Drug 6188                                                                                                                          N/N=C1\N=NC=C2C=CC=C[C@@H]21 1
 Drug 369                                                                                                                             OC1c2ccc3ccccc3c2C2OC2C1O 1
Drug 4683                                                                                                                                Oc1c(I)cc(Cl)c2cccnc12 0
Drug 1695                                                                                                                       C[n+]1cccc2c1C=C[C@H]1O[C@@H]21 1
Drug 5766                                                                                                                                        C1=CC2OC2C=CO1 0
Drug 1267                                                                                                                                  C[n+]1cccc(C(=O)O)c1 0
Drug 2596                                                                                                                     OC1c2c(ccc3c2ccc2ccccc23)C2OC2C1O 1
Drug 2738                                                                                                                       O=[N+]([O-])c1ccc2sc3ccccc3c2c1 1
Drug 6415                                                                                                                                          CCCN(CCC)N=O 1
Drug 7062                                                                                                                   NCC1CCC(C(=O)c2ccc(CCC(=O)O)cc2)CC1 0
Drug 5725                                                                                                                             c1ccc2c(c1)CCC1CCCC3OC213 0
Drug 1635                                                                                                                  O=C1c2ccccc2-c2cc([N+](=O)[O-])ccc21 1
Drug 4105                                                                                                                 CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0
Drug 3342                                                                                                                                NC(Cc1ccc(O)cc1)C(=O)O 0
Drug 5103                                                                                                                               Nc1ncnc2c1ncn2Cc1ccccc1 1
 Drug 528                                                                                                                                             C1CCCNCC1 0
Drug 2920                                                                                                                CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1 0
Drug 3890                                                                                                                            N[C@H](Cc1ccc(F)cc1)C(=O)O 0
Drug 4018                                                                                                                           Cc1ccccc1N=Nc1ccc(N(C)C)cc1 0
 Drug 219                                                                                 CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C 0
Drug 2648                                                                                                                     ClCc1ccc2ccc3cc4ccccc4c4ccc1c2c34 0
Drug 4363                                                                                                             Cc1c(C)c2c3c(ccc2c2ccccc12)C(O)C(O)C1OC31 1
Drug 2488                                                                                                                    O[C@@H]1Cc2cc3cccc4ccc5ccc1c2c5c43 1
Drug 6815                                                                                                                   OC1C=Cc2ccc3nc4ccc5ccccc5c4cc3c2C1O 1
Drug 6510                                                                                                                                 O=P1(NCCCl)OCCCN1CCCl 1
Drug 1879                                                                                                                                         COP(=O)(OC)SC 0
Drug 5880                                                                                                                                   CC(C)Nc1snc2ccccc12 0
Drug 2008                                                                                                  COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2 1
Drug 5212                                                                                                                                           CCC/C=C/C=O 1
Drug 3621                                                                                 CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21 0
 Drug 274                                                                Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5127                                                                                                                                    COC1=CC(=O)C=CC1=O 0
Drug 5201                                                                                                                                       Cc1ccc(O)c(C)c1 1
 Drug 780                                                                                                                       CCN(C(=O)N(CC)c1ccccc1)c1ccccc1 0
Drug 5343                                                                                                                                                 ClCCl 1
Drug 2332                                                                                          O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21 1
Drug 2320                                                                                                                                      COc1ccc(N)c(C)c1 1
Drug 5394                                                                                                                      OCc1ccc2c(CO)c3ccc4ccccc4c3nc2c1 0
Drug 1196                                                                                                                     CN(C)CCNC(=O)c1cccc2c1Oc1ccccc1O2 1
Drug 6165                                                                                                                             Cc1ccc([N+](=O)[O-])cc1NO 0
Drug 6423                                                                                                                            c1cc(OCC2CO2)cc(OCC2CO2)c1 1
Drug 4661                                                                                                                                       ClC(Cl)=C(Cl)Cl 0
Drug 7349                                                                                                                                       CNC(C)Cc1ccccc1 0
Drug 5801                                                                                                                       CC(=O)OCc1c2ccccc2c(C)c2ccccc12 1
Drug 3515                                                                                                                                              CCC(=O)O 0
Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 6989                                                                                                                                      OC[P+](CO)(CO)CO 0
Drug 7133                                                                                                                                      CC(CCN(C)C)N(C)C 0
Drug 7066                                                                                                                              CCC(C)Nc1ccc(NC(C)CC)cc1 0
Drug 2277                                                                                                                                                 N#CCO 0
Drug 3807                                                                                          O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl 0
Drug 7392                                                                                                                            CC1CCc2c1ccc1c2ccc2ccccc21 1
 Drug 257                                                                                                        C=C1CCC2C(c3c(C)c(O)c4c(c31)C(=O)C(C)C4)C2(C)C 0
Drug 5951                                                                                                               Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 7495                                                                                                                    Cc1c2ccccc2cc2c3c(ccc12)C=CC(O)C3O 1
 Drug 532                                                                                                                CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O 1
Drug 1771                                                                                                                                                 C=COC 0
Drug 7443                                                                                                                        CC(=O)OC(c1ccc2c(c1)OCO2)C1CO1 1
Drug 4816                                                                                                  COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@@H]1O2 1
Drug 2406                                                                                                                      O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl 0
Drug 7431                                                                                                                       Cc1cc2c(ccc3ccccc32)c2c1C(C)CC2 1
Drug 1271                                                                                                                                     N#Cc1cccc2cccnc12 1
Drug 5551                                                                                                                                        CC(Cl)c1ccccc1 0
Drug 4179                                                                                                      CC(=O)Nc1cccc(N=[N+]([O-])c2cccc(NC(C)=O)c2C)c1C 0
Drug 2342                                                                                                           Nc1[nH]cnc2nc(-c3ccc([N+](=O)[O-])cc3)nc1-2 1
Drug 1985                                                                                                                             Nc1c2ccccc2nc2ccc(Cl)cc12 1
Drug 3464                                                                                         C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CCC1(OC(C)=O)C3 0
Drug 1031                                                                                                                 Oc1ccc(/C=N/c2snc3c(Cl)cc(Cl)cc23)cc1 1
Drug 6787                                                                                                                      O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21 1
Drug 5410                                                                                                        Cc1[nH]c2c(c3nc4ccccc4c1-3)C(=O)C(N1CC1)=CC2=O 1
Drug 2092                                                                                        CCC1OC(CO)C(COCC2OC(COC3OC(CO)C(O)C(O)C3O)C(OC)C(O)C2O)C(O)C1O 0
 Drug 443                                                                                                           COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2 1
Drug 5863                                                                                                                                     O=C(O)C(Cl)(Cl)Cl 0
 Drug 405                                                                                                                                         COP(=O)(OC)OC 1
Drug 6987                                                                                                                  CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1 0
Drug 6664                                                                                                                       CC(O)c1cc2ccc3cccc4ccc(c1)c2c34 1
Drug 2948                                                                                                                                 Cn1/c(=N/N)sc2ccccc21 1
Drug 3104                                                                                                    Cc1cc(O)ccc1O[P@@](=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O 0
 Drug 144                                                                CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(=C(O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(N)=N1 0
 Drug 804                                                                                                                                          Cc1ccc(C)cc1 0
Drug 4828                                                                                                                                                 O=CCO 0
Drug 3397                                                                                                        COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O 1
Drug 1347                                                                                                                           Oc1ccccc1/C=N/c1snc2ccccc12 0
Drug 2186                                                                                                                       CN(C)c1ccc(N=Nc2cccc(CCl)c2)cc1 1
Drug 3160                                                                                                                  O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34 1
 Drug 105                                                                                                                                O=C1c2ccccc2-c2ccccc21 0
Drug 1948                                                                                                                                 CCCCCCCCCCCC[C@H]1CO1 0
Drug 4888                                                                                                           O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O 0
Drug 5829                                                                                                                   CCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O 0
Drug 4592                                                                                                              COCC1CN(c2ccc3nc(C(O)CCC#N)sc3c2)C(=O)O1 0
 Drug 664                                                                                                               O=[N+]([O-])c1cc(CCl)cc([N+](=O)[O-])c1 1
Drug 7547                                                                                                                        N=c1ccn(C2CCC(CO)O2)c(=O)[nH]1 1
 Drug 989                                                                                                Nc1nc(-c2cccc([N+](=O)[O-])c2)nc2c1ncn2C1OC(CO)C(O)C1O 1
Drug 2834                                                                                                                O=C(Nc1cccc(F)c1)c1csc([N+](=O)[O-])c1 1
Drug 6435                                                                                                         O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl 0
Drug 6111                                                                                                                      OC1CC=Cc2c1cc1ccc3cccc4ccc2c1c34 1
Drug 4399                                                                                                                              NS(=O)(=O)c1cccc2cccnc12 0
Drug 4174                                                                                                                              Cc1cc(N)ccc1-c1ccc(O)cc1 1
Drug 2075                                                                                                                                  Nc1cc(Cl)c(N)c(Cl)c1 1
Drug 1428                                                                                                           CC[C@@H](C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 6411                                                                           COC1COC(COCC2COC(OC)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C(OS(=O)(=O)O)C1OS(=O)(=O)O 0
Drug 6526                                                                                                                                 CC(=O)Oc1ccccc1C(=O)O 0
Drug 4393                                                                                                                                   O=NN1CCC[C@H](Cl)C1 1
Drug 1742                                                                                                                                            ONc1ccccc1 1
 Drug 361                                                                                                                                             COCC(=O)O 0
Drug 3841                                                                                                    O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCc1ccccc1-3 1
Drug 6139                                                                                                                               COC(=O)c1oc(N)c(Cl)c1Cl 0
Drug 1439                                                                                                                              OC[C@@H]1CO[C@@H](CCI)O1 1
Drug 4228                                                                                                               COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl 0
Drug 5906                                                                                                               O=C(CCCCl)/N=c1\sn(C(=O)CCCCl)c2ccccc12 0
Drug 6979                                                                                                                                    CCC(C)=[N+]([O-])O 0
Drug 5305                                                                                                                     Oc1cc2ccc3cc4ccccc4c4ccc(c1)c2c34 1
Drug 4390                                                                                                               CCN(CCCl)CCCNc1c2ccccc2nc2c1ccc1ccccc12 1
Drug 1973                                                                                                                        O=C1c2ccccc2C(=O)c2cc(CO)ccc21 0
Drug 7171                                                                                                                                     C=CC1CCC2(C)OC2C1 0
Drug 2923                                                                                                                                    NCCNc1cccc2ccccc12 1
Drug 5175                                                                                                                                          O=NN1CCNC1=O 1
Drug 1004                                                                                                                                 Brc1ccc(-c2ccccc2)cc1 0
Drug 2673                                                                                                                              Nc1ccc([N+](=O)[O-])cc1O 1
Drug 3831                                                                                                                            CCCC[C@@H](CC)COC[C@H]1CO1 1
Drug 3259                                                                      COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C 1
Drug 3326                                                                                                               COc1cccc(/C=C/c2ccc([N+](=O)[O-])cc2)c1 1
Drug 3692                                                                                                                        O=C(/C=C/c1ccc(Br)cc1)c1ccccc1 0
Drug 2695                                                                                                     O=C(c1ccccc1)[C@@H]1O[C@H]1c1ccc([N+](=O)[O-])cc1 0
Drug 7430                                                                                                                   COc1ccc2c(ccc3c4c(ccc32)C(C)=CC4)c1 1
Drug 6079                                                                                                                                            CC/C=C/C=O 1
Drug 5674                                                                                                                       CC(=O)Nc1cc2c(cc1Cl)-c1ccccc1C2 1
Drug 6983                                                                                                                                  O=C(O)C(O)C(O)C(=O)O 0
Drug 4214                                                                                                                                    ClCCOP(OCCCl)OCCCl 1
Drug 2669                                                                                                                      O=[N+]([O-])c1c2ccccc2cc2ccccc12 1
Drug 5479                                                                                                        CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1 1
  Drug 78                                                                                                                                        CCCCCCCC(=O)Cl 1
Drug 7360                                                                                                       C/C=C1/CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23 1
 Drug 974                                                                                                                    O=S(=O)(Nc1ccccc1Cl)c1cccc2cccnc12 0
Drug 1540                                                                                                               COc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1 1
Drug 1873                                                                                                                                         COc1ccc(O)cc1 0
Drug 6922                                                                                  O=[N+]([O-])c1ccc(Nc2ccc(Nc3ccccc3)c(S(=O)(=O)O)c2)c([N+](=O)[O-])c1 1
Drug 4515                                                                                                                     CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1 0
Drug 1640                                                                                                                            Cc1cc(C)c2c(ccc3ccccc32)c1 1
Drug 1274                                                                                                                                  NC(=O)N(CCC(=O)O)N=O 1
 Drug 326                                                                                                                                        Nc1cccc2cnsc12 1
Drug 4677                                                                                                                              Nc1ccc2cc3ccc(N)cc3nc2c1 1
Drug 2460                                                                                        COc1cc(N=Nc2ccc(N)cc2)c(C)cc1N=Nc1c(S(=O)(=O)O)cc2ccc(N)cc2c1O 1
Drug 3268                                                                                                               CC1(c2ccccc2)/C(=N/c2ccccc2)c2ccccc2N1O 0
Drug 4558                                                                                                                                     O=C1OCC(CBr)=C1Br 1
Drug 2591                                                                                                                  CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC 0
  Drug 54                                                                                                                  Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1 0
 Drug 140                                                                                                               CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1 1
Drug 4594                                                                                                                             CNC(=O)ON(C(=O)NC)C(=O)NC 0
Drug 2326                                                                                                    O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 5775                                                                                                                                            C=C(Br)CCl 1
Drug 1437                                                                                                                        CCOc1ccc(NC(=O)C[C@@H](C)O)cc1 1
Drug 1993                                                                                                                        CN(CCC#N)c1ccc(N=Nc2ccccc2)cc1 1
Drug 2327                                                                                       CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2 1
 Drug 950                                                                                                                    N#C/C(=C\C=C\c1ccccc1)c1ccc(Cl)cc1 1
Drug 5470                                                                                                                                                C#CCBr 1
Drug 5755                                                                                                                              N#CCc1ccccc1[N+](=O)[O-] 1
 Drug 428                                                                                                           O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2 1
Drug 4872                                                                                                                        CCC(CCC(C)=O)COC(=O)CCCCC(=O)O 0
 Drug 190                                                                                                                   Cc1ccc2c(c1)C(C)C1C(=Nc3ccccc31)N2C 1
Drug 7346                                                                                                                                     CCCCN(CCC(C)O)N=O 1
 Drug 784                                                                                                                        CCC(CC)c1cccc(OC(=O)N(C)N=O)c1 1
 Drug 864                                                                                                                            [O-][Cl+3]([O-])([O-])[O-] 0
Drug 4980                                                                                                                                  CN1C(=O)CCC1c1cccnc1 0
Drug 4885                                                                                                           c1ccc2c(c1)-c1c(ccc3ccccc13)[C@@H]1N[C@H]21 1
Drug 2467                                                                                                                     OC1c2ccccc2-c2cc3ccccc3c(Cl)c2C1O 0
Drug 4581                                                                                                                 COC(=O)/C(=C/c1ccc(Br)o1)[N+](=O)[O-] 0
 Drug 370                                                                                                                         C=CC(=O)OCCOCCOCCOCCOC(=O)C=C 0
Drug 5449                                                                                                                                CC(=O)c1c(O)cc(C)oc1=O 0
Drug 6642                                                                                                                                         CCOS(C)(=O)=O 1
 Drug 317                                                                                                                            Cc1cnc2c(ccc3c2nc(N)n3C)n1 1
Drug 7104                                                                                                     CNCc1ccc(CSCCNC(=NCC(O)c2ccc(O)cc2)NS(C)(=O)=O)o1 0
Drug 6686                                                                                                                                   CCC(Cl)=[N+]([O-])O 1
Drug 3394                                                                                                                                    Nc1ccc(CC(=O)O)cc1 1
Drug 1745                                                                                                                                COc1ccccc1[N+](=O)[O-] 1
Drug 5941                                                                                                        O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])cc3c2c1 1
  Drug 64                                                                                                                                        O=C(O)c1ccccc1 0
 Drug 145                                                                                                         c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1 0
Drug 2566                                                                                                                                                   CCS 0
Drug 5418                                                                                                                                   Cc1ccc(N=NN(C)C)cc1 1
Drug 4709                                                                   CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O 0
Drug 4276                                                                                  CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O 0
Drug 4575                                                                                                                                    O=C(O)CNCP(=O)(O)O 0
Drug 5459                                                                                                                              Cc1c2ccccc2c(C)c2ccccc12 1
Drug 3191                                                                                            O=C(/C=C/c1ccc([N+](=O)[O-])o1)N/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 1491                                                                                                            O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21 0
Drug 1129                                                                                                                          C1=C[C@@H]2O[C@@H]2c2ncccc21 1
 Drug 867                                                                                                                 COc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
 Drug 700                                                                                                                     [N-]=[N+]=NCC(O)Cn1cnc2c(N)ncnc21 1
Drug 1086                                                                                                                     CC(CC1=C(C=O)COC1O)C1=CCC(C)(C)C1 0
Drug 5337                                                                  C=C1C[C@]23C[C@@]1(O)CC[C@@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O 0
Drug 4437                                                                                                                  c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56 1
Drug 1547                                                                                                                Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=CC2=O 1
Drug 3620                                                                                                                               C=CC(=O)OCCCCCOC(=O)C=C 0
Drug 7402                                                                                                                                  CC1CN(N=O)C(C)CN1N=O 1
 Drug 934                                                                                                                                    COc1nsc2c(N)cccc12 1
Drug 2687                                                                                                 CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-] 1
Drug 1698                                                        COC(=O)C1=C(C)N=C(C)C(=C(O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1 0
Drug 3478                                                                                                                                      COC(F)(F)C(Cl)Cl 0
Drug 7135                                                                                                                         CCCCCCCCCCCC(=O)OCCS(=O)(=O)O 0
Drug 3718                                                                                                                                              CCCCON=O 1
 Drug 881                                                                                                                                        CCN(CC)N(O)N=O 1
Drug 3819                                                                                                                 OC1c2ccc3ccc4c5ccccc5ccc4c3c2C2OC2C1O 1
Drug 2408                                                                                                                                        Cc1nc2ccccc2s1 0
Drug 1411                                                                               O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1 1
Drug 6303                                                                                                                           [N-]=[N+]=NC[C@@H](N)C(=O)O 1
 Drug 540                                                                                                                                Cc1ccc(N(CCCl)CCCl)cc1 0
Drug 2944                                                                                                                      Cc1cccc(N=Nc2c(O)ccc3ccccc23)c1C 0
Drug 2454                                                                                         CN(C)c1ccc(C2CC3(C)C(CCC3(O)/C=C/CO)C3CCC4=CC(=O)CCC4=C23)cc1 0
   Drug 2                                                      O=c1c2ccccc2c(=O)c2c1ccc1c2[nH]c2c3c(=O)c4ccccc4c(=O)c3c3[nH]c4c(ccc5c(=O)c6ccccc6c(=O)c54)c3c12 0
