Drug 1224                                                                                                                                              c1ccccc1 0
Drug 2496                                                                                                         Nc1ccc(-c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1 0
Drug 6394                                                                                                                                  FC(F)(F)c1ccc(Cl)cc1 0
Drug 3230                                                                                                                         CN(C)CCCNc1c2ccccc2nc2ccccc12 1
Drug 1516                                                                                                                             CC[n+]1c2ccccc2nc2ccccc21 1
Drug 5495                                                                                                                                        C=CCCCCCCCCCCC 0
Drug 4676                                                                                                                      O=[N+]([O-])c1ccc2c3c(cccc13)CC2 1
Drug 1367                                                                                                                          CCCN(C(=O)CCCl)c1snc2ccccc12 1
Drug 1984                                                                                                                           Cc1cc(N(C)C)ccc1N=Nc1ccccc1 1
Drug 4887                                                                                                           O=[N+]([O-])c1c(O)cc2c3c(cccc13)-c1ccccc1-2 1
Drug 5085                                                                                                                 O=Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-] 1
Drug 5603                                                                                                                     O=C(O)c1occ(-c2ccccc2)c1-c1ccccc1 0
Drug 4405                                                                                                                              COC(=O)c1ccc(C(=O)OC)cc1 0
 Drug 675                                                                                         COC(O)=C1C(C)=NC(COC(N)=O)=C(C(=O)OC(C)C)[C@H]1c1cccc(Cl)c1Cl 0
Drug 1206                                                                                                                 COc1cccc(CN2C3c4ccccc4-c4ccccc4C32)c1 1
 Drug 207                                                                                                                 Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1 0
Drug 3924                                                                                                                c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45 1
Drug 6666                                                                                                                      O=C1CC(=Nc2ccccc2)C(=O)c2ccccc21 1
Drug 2281                                                                                                                       Cc1ccc2c(CO)c3ccc4ccccc4c3nc2c1 0
Drug 1630                                                                                                                     O=[N+]([O-])c1cnc2c(c1)nc1ccccn12 1
Drug 3519                                                                                                                                 OO[C@@H]1CCCc2ccccc21 1
Drug 4496                                                                                                                                               OCCOCCO 0
Drug 6676                                                                                                                                    Cc1ccc(CCC2CO2)cc1 1
 Drug 154                                                                                                                                        Cc1ccc(C#N)cc1 0
Drug 1070                                                                                                                                 Nc1ccc2nc3ccccc3cc2c1 1
Drug 3597                                                                                                                                  CC(C)(C)c1cc(O)ccc1O 0
Drug 1523                                                                                                                    CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1 0
Drug 2290                                                                                                               CCc1ccc(NC(=O)c2csc([N+](=O)[O-])c2)cc1 1
Drug 2042                                                                                                                     CC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1 1
Drug 1455                                                                                                                               O=C(O)c1cc(O)c(O)c(O)c1 0
Drug 5742                                                                                                                                c1ccc(SCCSc2ccccc2)cc1 0
Drug 4835                                                                                                                                          CC(Cl)C(=O)O 0
 Drug 140                                                                                                               CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1 1
Drug 2761                                                                                                              N#Cc1cccc(/C=C/c2ccc([N+](=O)[O-])cc2)c1 1
Drug 5769                                                                                                             Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1 0
Drug 4962                                                                                                                                N#Cc1cc(Br)c(O)c(Br)c1 0
Drug 7004                                                                                   CNC(CC(=O)O)C(=O)N(C(C(N)=O)c1ccc(O)cc1)C1C(=O)N2C1SC(C)(C)C2C(=O)O 0
Drug 2327                                                                                       CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2 1
Drug 2039                                                                                                                                          N#CCc1ccccc1 0
Drug 4013                                                                                                                  COc1ccc(N=[N+]([O-])c2ccc(OC)cc2)cc1 1
Drug 5173                                                                                                                     CCCCCC[C@H](O)C/C=C\CCCCCCCC(=O)O 0
Drug 5940                                                                                                                     C=C[C@@H](OC(C)=O)c1ccc2c(c1)OCO2 1
Drug 1797                                                                                                                     O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1 0
Drug 1444                                                                                                                     Cc1ccc(COS(=O)(=O)c2ccc(C)cc2)cc1 0
Drug 4870                                                                                  O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c1 1
 Drug 911                                                                                                                                    Oc1cc(Cl)c(O)cc1Cl 0
Drug 2014                                                                                                                                              Cn1cccc1 0
Drug 5039                                                                                                                                 CC[C@@H](C)[C@H](C)CO 0
Drug 6920                                                                                                                                            OCC(Br)CBr 1
Drug 3154                                                                                                  Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-] 1
Drug 4277                                                                                             O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cc1 1
Drug 4132                                                                                                                         Cc1cccc2cc3c(ccc4ccccc43)cc12 1
  Drug 24                                                                                                                                  NNc1nnc(NN)c2ccccc12 1
Drug 5060                                                                                                                                           CCCCOC(C)=O 0
Drug 5735                                                                                                                                  C/C=C/C1OC(=O)C=CC1O 0
Drug 6655                                                                                                 O=c1c2c(OC3OC(CO)C(O)C(O)C3O)cc(O)cc2oc2c(O)ccc(O)c12 1
  Drug 67                                                                                                                                    Fc1ccccc1-c1ccccc1 0
Drug 6267                                                                                                                               O=CN(O)c1ccc(Cl)c(Cl)c1 0
Drug 7118                                                                                                                                         CC(O)COCC(C)O 0
Drug 2787                                                                                                                            CN(C)CCN(Cc1cccs1)c1ccccn1 0
Drug 3038                                                                                                     O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O 0
Drug 2647                                                                                                                           Cc1cc(N)cc([N+](=O)[O-])c1N 1
Drug 2731                                                                                                           O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(F)(F)F 1
Drug 5107                                                                                                                            CCOC(/C=C(/C)CCC=C(C)C)OCC 0
Drug 2334                                                                                                               Cc1c(NO)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 3223                                                                                                            CN(C)c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 5932                                                                                                      CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC 0
Drug 3248                                                                                                                     Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2 1
Drug 1942                                                                                                CC1=CC2(OC3OC(CO)C(O)C(O)C3O)CC(C)C(=O)C2C(C)(O)C12CC2 1
Drug 1547                                                                                                                Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=CC2=O 1
 Drug 375                                                                                                                   COP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C 0
Drug 5725                                                                                                                             c1ccc2c(c1)CCC1CCCC3OC213 0
Drug 3718                                                                                                                                              CCCCON=O 1
Drug 3435                                                                                                                              O=[N+]([O-])c1ccc(Br)cc1 1
Drug 6175                                                                                                                      CCN(CC)C(=S)SC1OC(CO)C(O)C(O)C1O 0
Drug 4914                                                                               COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O 0
Drug 5148                                                                                                                                         Cc1ccc(Cl)cc1 0
Drug 3327                                                                                               CC(/C=C(/C#N)c1ccc(Br)cc1)C(c1ccccc1)C(C#N)c1ccc(Br)cc1 0
Drug 4658                                                                                                     CCCC[C@@H](CC)COP(OC[C@H](CC)CCCC)OC[C@H](CC)CCCC 0
Drug 3836                                                                                                                                         Oc1cccc(O)c1O 1
Drug 1887                                                                                                                                       Cc1ccc(C)c(C)c1 0
 Drug 807                                                                                                                                   COc1cc(C(C)=O)ccc1O 0
 Drug 352                                                                                                                             COc1cc([N+](=O)[O-])ccc1N 1
Drug 4615                                                                                              CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC1(OCCOC)OCC(OCCOC)C1OCCOC 0
Drug 3536                                                                                                                                    CC12OOC1Oc1ccccc12 1
 Drug 275                                                                                                                                               C1CSCN1 1
Drug 4981                                                                                                               Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1 0
Drug 4219                                                                                                                             COP(=S)(OC)SCC(=O)N(C)C=O 0
Drug 3792                                                                                                                                           CCCCOCCOCCO 0
  Drug 48                                                                                                                            Nc1ccc([N+](=O)[O-])c(N)c1 1
 Drug 234                                                                                                                 OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O 1
Drug 1092                                                                                         CCCCCCCCCC(=O)/N=c1\sn(C(=O)CCCCCCCCC)c2ccc([N+](=O)[O-])cc12 1
Drug 2081                                                                                                                                ClC(Cl)(Cl)C(Cl)(Cl)Cl 0
Drug 2709                                                                                                                    O=C(O)CCC(=O)Nc1cc(Cl)c(Cl)c(Cl)c1 0
Drug 4033                                                                                                      CC1Cc2ccc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1 0
Drug 1885                                                                                                                                Nc1ccc(/C=C/C(=O)O)cc1 0
Drug 1245                                                                                                         CC(=O)O[C@@H]1Cc2c3ccc4ccccc4c3cc3ccc(C)c1c23 1
 Drug 687                                                                                                                                         C=CCCC(C=O)CC 0
Drug 4330                                                                                                                      c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1 0
  Drug 25                                                                                                                                   C=CC(=O)NCNC(=O)C=C 1
Drug 1503                                                                                                                          O=C(NCc1ccccc1)C(Br)c1ccccc1 0
 Drug 860                                                                                                                                           CS(=O)(=O)O 0
Drug 6149                                                                                                                        Cc1ccc2c(C)c3ccc4ccccc4c3nc2c1 1
Drug 4989                                                                                                             O=[N+]([O-])c1ccc2c(c1)[C@H](O)c1ccccc1-2 1
Drug 1594                                                                                                                                              NC(=O)NO 1
 Drug 808                                                                                                                                       Cc1ccc(C)c(O)c1 0
Drug 3692                                                                                                                        O=C(/C=C/c1ccc(Br)cc1)c1ccccc1 0
Drug 5049                                                                                                                                     CC(C)(OO)c1ccccc1 1
Drug 1859                                                                                                                          O=C(NCc1ccccc1)C(Cl)c1ccccc1 1
Drug 6329                                                                                                                       Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2 1
Drug 4767                                                                                                                               CC1=NN(c2ccccc2)C(=O)C1 0
Drug 3115                                                                                                                                          Nc1ccc(F)cc1 1
Drug 1541                                                                                                                        Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O 1
Drug 5333                                                                                                                                     COC(=O)C(N)CSCCCl 1
Drug 4491                                                                                                                                O=C(CCl)Nc1snc2ccccc12 1
Drug 6159                                                                                                                             O=S(=O)(NO)c1cccc2cccnc12 0
Drug 2456                                                                                                                 CC(C)CC(NC(=O)COc1ccc(Cl)cc1Cl)C(=O)O 0
Drug 4532                                                                                                          Nc1ccc2c(-c3ccccc3C(=O)O)c3ccc(N)cc3[o+]c2c1 0
Drug 1553                                                                                                                                   CC(C)=CCC/C(C)=C/CO 0
Drug 5559                                                                                                                  CN(C)CCNC(=O)c1cccc2c(N)c3ccccc3nc12 1
Drug 4710                                                                                                                          CNc1ccc(N=Nc2ccc3ncsc3c2)cc1 1
Drug 6784                                                                                                           COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(=O)C2=O 1
Drug 6227                                                                                              O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)[C@@H]1O[C@H]21 1
Drug 7418                                                                                                                                   O=NN1CCC(Br)C(Br)C1 1
Drug 5412                                                                                                  O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O 0
Drug 4303                                                                                                       O=[N+]([O-])c1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
Drug 1895                                                                                                      CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C 0
Drug 4257                                                                                                                                         Oc1cccc(Cl)c1 0
Drug 3959                                                                                                                                  C[N+](C)(C)NCCC(=O)O 0
 Drug 739                                                                                                                             CC(C)Nc1ccc(Nc2ccccc2)cc1 0
Drug 6794                                                                                                            COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4 1
Drug 4841                                                                                                                C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1 0
Drug 4119                                                                                                                         Cc1cc(C)c2nsnc2c1[N+](=O)[O-] 1
Drug 2874                                                                                                                           CC(=O)c1cccc2c1OC1(C)OOC21C 1
Drug 1311                                                                                                                         O=C(/C=C/c1ccccc1)c1ccc(F)cc1 0
Drug 4820                                                                                                                               c1ccc2c(CCC3CO3)cccc2c1 1
Drug 3313                                                                                                     O=C1CCC2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1C2C1OC1C3=O 1
Drug 5604                                                                                                                           O=C(Nc1snc2ccccc12)c1ccccc1 1
 Drug 719                                                                                                                                       CCCCCN(CCCC)N=O 1
Drug 6975                                                                                                                                               CCC(C)N 0
Drug 5267                                                                                                                    COc1nc(=O)n(CC(O)CN=[N+]=[N-])cc1C 1
Drug 5862                                                                                                                                     OCC(CO)(CCBr)CCBr 1
Drug 4245                                                                                                     Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1[N+](=O)[O-] 1
Drug 4558                                                                                                                                     O=C1OCC(CBr)=C1Br 1
Drug 5982                                                                                                                               S=C(Nc1ccccc1)Nc1ccccc1 0
Drug 2454                                                                                         CN(C)c1ccc(C2CC3(C)C(CCC3(O)/C=C/CO)C3CCC4=CC(=O)CCC4=C23)cc1 0
Drug 2559                                                                                                                    Cc1nc2c(ccc3ccc4ccc(O)cc4c32)[nH]1 1
Drug 5728                                                                                                                              Fc1c(F)c(Cl)c(F)c(Cl)c1F 0
Drug 2707                                                                                                                                      C=CC(=O)OCCN(C)C 0
Drug 5969                                                                                                                        c1ccc(-c2ccc(-c3ccccc3)cc2)cc1 0
Drug 5797                                                                                                                        CC(=O)C1(C)OC12C=Cc1ccccc1C2=O 0
Drug 3789                                                                                                                                                   NCN 1
Drug 6741                                                                                                                                       CC(C)(C)OCC1CO1 1
Drug 1212                                                                                  CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O 0
Drug 5163                                                                                                                      CC(=O)C1(C)OC12C(=O)C=Cc1ccccc12 0
Drug 3410                                                                                                                                                 NCCCN 0
Drug 7110                                                                                                              COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC1=O 0
Drug 2394                                                                                                                                        NC(=O)NNC(N)=O 0
Drug 4696                                                                                                                                O=Nc1ccc(Sc2ccccc2)cc1 1
Drug 2151                                                                                                                                   CC(=O)Oc1ccc(CO)cc1 0
Drug 2007                                                                                                                OC1c2cccc3c2C2(OC2C1O)c1cc2ccccc2cc1-3 1
Drug 1976                                                                Cc1cc(O)c2c(c1)C(=O)C13C(=C2O)C(=O)C2C(O)C1C1C(O)C3C(=O)C3=C(O)c4c(O)cc(C)cc4C(=O)C321 0
Drug 7111                                                                                                                                           CCCCC(CC)CO 0
Drug 4353                                                                                                                O=C1C=C2c3cc4ccccc4cc3-c3cccc(c32)C1=O 1
Drug 2022                                                                                                             O=C1[C@@H]2CC=CC[C@H]2C(=O)N1SC(Cl)(Cl)Cl 1
Drug 1486                                                                                                              CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O 0
Drug 6143                                                                                                                  CCCNc1c([N+](=O)[O-])ccc(Cl)c1C(=O)O 0
Drug 2612                                                                                                                                               CC(C)Br 1
Drug 5151                                                                                                                                    Cc1cc(C)c2nsnc2c1N 1
Drug 3482                                                                                                                                    CC(=O)CCOOCCC(C)=O 0
Drug 5130                                                                                                                                  C/C=C/c1ccc(OC)cc1OC 0
 Drug 292                                                                                                                Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C1OC31 1
Drug 5521                                                                                                                                          O=C[C@H]1CO1 1
Drug 4737                                                                                                                     O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1 1
 Drug 590                                                                                                                    COc1cc(OC)c2c(=O)c3cc(OC)ccc3oc2c1 1
Drug 6193                                                                                                                    O=[N+]([O-])c1cccc([N+](=O)[O-])c1 1
 Drug 619                                                                                                                            c1ccc2c(c1)-c1ccccc1C1OC21 1
Drug 1657                                                                                                                          O=C1CCCc2c1ccc1c2ccc2ccccc21 1
Drug 2762                                                                                                                                 ClC(Cl)(Cl)C[C@H]1CO1 1
Drug 5472                                                                                                                                              CC(N)CCN 0
Drug 6605                                                                                                                              c1ccc2c(c1)[nH]c1ccccc12 0
Drug 4246                                                                                                                                        Nc1n[nH]c(N)n1 0
Drug 4958                                                                                                                                 Nc1ccc2ccc3ccccc3c2n1 1
Drug 4239                                                                                                                                            C=C(Cl)CCl 1
Drug 1151                                                                                                 CC(C)(O)CCc1ccc(O)c2c(=O)c3c(O)c4c(cc3oc12)OC1OC=CC41 1
Drug 1826                                                                                      CC(=O)[C@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C 0
  Drug 16                                                                                                                    O=C(O)c1cc([N+](=O)[O-])cc2cccnc12 1
Drug 2154                                                                                                                          O=C1c2ccccc2C(=O)N1SC1CCCCC1 0
Drug 5669                                                                                                                      CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1 0
Drug 1730                                                                                                                                Nc1nc2c(s1)CCC1NCCCC21 0
Drug 6282                                                                                                                                O=C(CNC(=O)c1ccccc1)NO 1
Drug 1392                                                                                                                 Cc1ccc2c(C)c3c(nc2c1)-c1ccccc1C(O)C3O 0
Drug 6210                                                                                                                                  CCCCCCCCCCCC(=O)NCCO 0
Drug 3895                                                                                                                   Cc1c2ccncc2c(C)c2c1[nH]c1ccc(N)cc12 1
Drug 6714                                                                                                                c1ccc2c(c1)-c1cc3ccc4ccccc4c3cc1C1OC21 1
Drug 2531                                                                                                                                   CC(=O)/C=C\c1ccccc1 1
Drug 3567                                                                                                                                           CCCCCCC1CO1 0
Drug 2867                                                                                                      CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12 1
Drug 1863                                                                                                                               c1ccc(C2OC2c2ccccc2)cc1 0
Drug 3334                                                                                                                              CC(C)C(=O)Nc1snc2ccccc12 0
Drug 2466                                                                                                                                      O=C1NCCN1c1nccs1 1
 Drug 750                                                                                                                   Cc1c2ccccc2c(COS(=O)(=O)O)c2ccccc12 1
Drug 3667                                                                                                                   Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-] 1
Drug 2032                                                                                                                      O=C(O)/C=C/c1ccc(/C=C/C(=O)O)cc1 0
Drug 5614                                                                                                                     Cc1c2ccccc2c([C@@H]2CO2)c2ccccc12 1
Drug 1019                                                                                                                                 c1ccc(CSCc2ccccc2)cc1 0
Drug 1423                                                                                                          COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12 1
 Drug 637                                                                                                                                       C=CC(=O)OCC(C)C 0
Drug 4367                                                                                                                  COc1cc2c(c(OC)c1CO)C(=O)c1ccccc1C2=O 0
Drug 3149                                                                                      Cc1c(/C=N/OCc2ccc(Cl)cc2Cl)c2cc([N+](=O)[O-])ccc2n1Cc1ccc(Cl)cc1 0
Drug 6911                                                                                                                                 OCCN1CN(CCO)CN(CCO)C1 1
Drug 2879                                                                                                                                    Cc1ccc(NC(N)=O)cc1 0
Drug 2204                                                                                                                        FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I 0
Drug 3531                                                                                       COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O 1
Drug 3770                                                                                                          CC(C)(C)OC(=O)NC(CN=[N+]=[N-])C(=O)OC(C)(C)C 1
 Drug 449                                                                                                        CCN(CCCl)c1ccc(OCCCCCNc2c3ccccc3nc3ccccc23)cc1 1
Drug 6628                                                                                                                   CC(=O)Nc1ccc(C(=O)C2OC2c2ccccc2)cc1 1
Drug 4744                                                                                                                           Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O 0
 Drug 379                                                                                                                           N/C(=N\OS(=O)(=O)O)c1ccccc1 0
Drug 4101                                                                                                            CC(C)CCCC(C)C1CCC2C3CC=C4CCCCC4(C)C3CCC12C 0
Drug 5937                                                                                                             CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3 0
Drug 3871                                                                                                                         BrCc1cccc2c1-c1cccc3cccc-2c13 1
Drug 4674                                                                                                                                      CCc1cccc2cccnc12 1
Drug 3577                                                                                                                  Cc1c2c(c(C)c3ccccc13)C1NC1c1ccccc1-2 1
Drug 4200                                                                                                                         O=C(O)Cc1ccc([N+](=O)[O-])cc1 1
Drug 5074                                                                                                                                       Oc1ccc(O)c(O)c1 1
 Drug 761                                                                                                               COc1ccc([C@H]2O[C@@H]2C(=O)c2ccccc2)cc1 1
  Drug 28                                                                Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C 0
Drug 2335                                                                                                                                           O=C1C=CCCC1 0
Drug 4334                                                                                                                                  O=C1OC(O)C(CBr)=C1Br 1
   Drug 6                                                                                                             CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O 1
Drug 5831                                                                                                                  COc1cc2c3c(cc(C)c2c2ccccc12)C(=O)CC3 1
Drug 2473                                                                                                                  C=C1CC/C=C(/C)CC[C@@H]2[C@H]1CC2(C)C 0
Drug 2956                                                                                                                CCCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21 1
Drug 4657                                                                                                                     Oc1cccc2c1ccc1nc3ccc4ccccc4c3cc12 0
Drug 1643                                                                                                                  CCC1(CC(=O)O)OCCc2c1[nH]c1c(C)cccc21 0
Drug 5171                                                                                              CC1(C)S[C@@H]2[C@@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O 0
Drug 3055                                                                                                                                           C=CCCCCCCCC 0
Drug 2349                                                                                                                                   COP(=O)(OC)N1CCOCC1 0
Drug 3512                                                                                                                             CC(CCN=[N+]=[N-])c1ccccc1 1
Drug 5966                                                                                                                       NC(=O)C12OC1C(O)(c1ccccc1)NC2=O 0
Drug 2116                                                                                                                                           ClCC(Cl)CCl 1
Drug 1314                                                                                                                         C=Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 2912                                                                                                                                       O=C/C=C\c1ccco1 0
Drug 6987                                                                                                                  CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1 0
Drug 6929                                                                                                                                         CC(O)CN(C)N=O 1
 Drug 967                                                                                                     O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 4134                                                                                                                              CON(C)C(=O)Nc1ccc(Br)cc1 0
 Drug 138                                                                                                                  CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C 0
Drug 7546                                                                                                                                 c1cc2c(cc1CC1CO1)OCO2 1
Drug 3057                                                                                                                                    O=C(O)c1ccc(Cl)cc1 0
 Drug 227                                                                                                      Cc1ccc(S(=O)(=O)NC(=O)Nc2ncc([N+](=O)[O-])s2)cc1 0
Drug 1303                                                                                                  CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1 1
Drug 6751                                                                                                                           COc1ccc(Cc2cnc(N)nc2N)cc1OC 1
Drug 2979                                                                                                                                   Nc1nc(-c2cccnc2)cs1 0
Drug 1693                                                                                                                           COc1cc(OC)c2c(c1)OC1OC=CC21 1
 Drug 149                                                                                                                                   ClC(Cl)(Cl)c1ccccc1 1
Drug 1021                                                                                                                                         CC(O)/C=C/C=O 1
 Drug 191                                                                                                                               O=C(O)/C=C/c1ccc(Cl)cc1 0
Drug 3151                                                                                                                         COP(=O)(OC)Oc1c(Cl)cc(C)cc1Cl 0
Drug 6136                                                                                                                               CNc1ccc2nc(C)c(C)nc2c1C 1
Drug 2738                                                                                                                       O=[N+]([O-])c1ccc2sc3ccccc3c2c1 1
Drug 6562                                                                                                        ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl 0
Drug 4846                                                                                                               O=[N+]([O-])c1cc2ccc3cccc4ccc(c1O)c2c34 1
Drug 1432                                                                                                                             COc1ccc2c(c1)C1CCCCC1C=C2 1
Drug 5016                                                                                                                      CC(O)Cc1cc(N)cc([N+](=O)[O-])c1N 0
Drug 1909                                                                                                                           O=C(O)/C(Cl)=C(/CCl)C(Cl)Cl 1
Drug 2705                                                                                                                                          O=NN(CCO)CCO 1
Drug 3185                                                                              N[C@@H](CCC(=O)N[C@@H](CS/C(Cl)=C(/Cl)C(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 4019                                                                                              O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])c4ccccc4c4ccc1c2c34 1
Drug 1732                                                                           O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12 1
Drug 3795                                                                                                                                        O=Cc1ccc(CO)o1 1
Drug 5611                                                                                                    COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 3812                                                                                                            O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 1
Drug 1864                                                                                                                      OCc1cc2cccc3ccc4cc5ccccc5c1c4c32 0
Drug 6752                                                                                                             O=[N+]([O-])c1ccc2c3c1ccc1cccc(c13)C1OC21 1
Drug 5880                                                                                                                                   CC(C)Nc1snc2ccccc12 0
Drug 6954                                                                                                                       Nc1ccc2c(c1)Cn1c-2nc2ccccc2c1=O 1
Drug 3856                                                                                                                                          C=C(C=O)CCCC 1
