Drug 4811                                                                                                                                                       CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 3392                                                                                                                                                          CCc1ccccc1[N+](=O)[O-] 0
Drug 1027                                                                                                                                 C[C@H]1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 1590                                                                                                                                         O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr 1
Drug 4651                                                                                                                                  COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1 0
Drug 3022                                                                                                                                                                 ClCc1ccc(Br)cc1 0
Drug 5156                                                                                                                                             C1=Cc2c(ccc3nc4ccc5ccccc5c4cc23)CC1 1
Drug 2093                                                                                                                                                             O=C(n1ccnc1)n1ccnc1 0
Drug 7470                                                                                                                                                       C=CC(OC(C)=O)c1ccc(OC)cc1 1
 Drug 172                                                                                                                                                      CC(C)CCOC(=O)/C=C\c1ccccc1 0
 Drug 504                                                                                                                                                                   C=CC(=O)OCCCC 0
Drug 5323                                                                                                                                             O=C(CBr)c1oc([N+](=O)[O-])c(Cl)c1Cl 1
 Drug 969                                                                                                                                       O=S(=O)(O)Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
Drug 3515                                                                                                                                                                        CCC(=O)O 0
Drug 6453                                                                                                                                                          CCCCCN(N=O)C(=N)NN(O)O 1
Drug 2967                                                                                                                                                             O=C1OC(=O)c2ccccc21 0
Drug 5834                                                                                                                                 NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 1798                                                                                                                                                         Oc1ccccc1-c1nc2ccccc2o1 0
Drug 2362                                                                                                                                                      CCCCCCCC(=O)Nc1snc2ccccc12 0
Drug 1757                                                                                                                                                           COc1cc(CCC(C)=O)ccc1O 0
Drug 4436                                                                                                                                                  N/C(=N\O)c1ccc([N+](=O)[O-])o1 1
Drug 2202                                                                                                                                                               O=NN1CCC(=O)NC1=O 1
Drug 2593                                                                                                                                                    O=[N+]([O-])c1ccc2c(c1)CC=C2 1
Drug 1424                                                                                                                                             CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC 0
Drug 6675                                                                                                                                             Fc1ccc2c3c(cccc13)-c1c-2ccc2ccccc12 1
Drug 5319                                                                                                                                                    O=C1c2ccccc2-c2ccc3ccccc3c21 0
Drug 5923                                                                                                                              CN(C)C(=O)c1nc2n(n1)-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2 0
Drug 3624                                                                                                                                                                c1ccc2[nH]ccc2c1 0
Drug 6351                                                                                    ClC1(Cl)[C@]2(Cl)[C@@]3(Cl)[C@]4(Cl)C(Cl)(Cl)[C@]5(Cl)[C@@]3(Cl)[C@@]1(Cl)[C@]5(Cl)[C@@]42Cl 0
Drug 2342                                                                                                                                     Nc1[nH]cnc2nc(-c3ccc([N+](=O)[O-])cc3)nc1-2 1
Drug 6154                                                                                                                                                   CCCCCN1C2c3ccccc3-c3ccccc3C21 1
Drug 4825                                                                                                                           CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C 0
Drug 6335                                                                                                                                                                            ClCl 0
Drug 4994                                                                                                                                                                           C#CCO 1
Drug 6978                                                                                                                                                         O=Cc1c2ccccc2cc2ccccc12 0
Drug 5981                                                                                                                                                                   O=NN1CCCNC1=O 1
Drug 2279                                                                                                                                                              O=C(O)[C@@H]1CSCN1 0
Drug 4465                                                                                                                                                        CN1CCC=C2c3nc(N)sc3CCC21 1
Drug 1231                                                                                                                                                               C=C[C@@H]1CC=CCC1 0
Drug 6024                                                                                                                                                               CCSCCSP(=S)(OC)OC 0
Drug 1777                                                                                                                                                  O=[N+]([O-])c1ccccc1S(=O)(=O)O 0
 Drug 215                                                                                                                                                                     N#CCCNCCC#N 0
 Drug 120                                                                                                                                                              CCCCOc1ccc(N=O)cc1 1
Drug 4807                                                                                                       CCCC[C@@H](CC)COC(=O)c1ccc(C(=O)OC[C@H](CC)CCCC)c(C(=O)OC[C@H](CC)CCCC)c1 0
Drug 7443                                                                                                                                                  CC(=O)OC(c1ccc2c(c1)OCO2)C1CO1 1
Drug 3156                                                                                                                                                                Clc1nncc2cnccc12 0
Drug 4100                                                                                                                                                                  Cc1cc(Cl)ccc1O 0
Drug 1679                                                                                                                                        CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1 1
 Drug 893                                                                                                                                           C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C 0
Drug 4299                                                                                                                                                     Cc1c(N)c(=O)n(-c2ccccc2)n1C 0
 Drug 641                                                                                                                                                 O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl 1
Drug 3706                                                                                                                                                                Cc1ccc(C)c(NO)c1 1
Drug 4906                                                                                                                                               OC1c2ccc3c(ccc4ccccc43)c2C2OC2C1O 1
Drug 4117                                                                                                                                                                 CC[C@@H](C)ON=O 1
Drug 4140                                                                                                                                                            C1CCC2CC3(CCC2C1)CO3 0
Drug 4883                                                                                                                                                                    Cc1cnc(C)cn1 0
Drug 3380                                                                                                                                              Cc1cc(C)cc(N=Nc2c(O)ccc3ccccc23)c1 0
Drug 7241                                                                                                                                                        O=C(O)C1=CC(O)C(O)C(O)C1 0
Drug 3769                                                                                                                           O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-] 1
Drug 5254                                                                                                                                      CCCCON(OC(C)=O)C(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 2712                                                                                                                                   COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1 1
  Drug 21                                                                                                                                                        Cc1ccc2ccc3ccc(C)cc3c2c1 1
Drug 3848                                                                                                                                                                 CCCN(N=O)C(N)=O 1
Drug 6997                                                                                                                                                CCOP(O)(=NC(C)C)Oc1ccc(SC)c(C)c1 0
 Drug 165                                                                                                                                                C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21 1
Drug 2811                                                                                                                                                                      N#CCCCCC#N 0
 Drug 411                                                                                                                                    C1CCC2OCCOCCOCCOCCOC3CCCCC3OCCOCCOCCOCCOC2C1 0
Drug 2525                                                                                                                                                             Cc1ccc(C(C)(C)O)cc1 0
Drug 4892                                                                                                                                                c1ccc2c(c1)c1cccc3ccc4cccc2c4c31 1
Drug 4489                                                                                                                                                                    Clc1ccccc1Cl 0
Drug 5098                                                                                                                                                                     C=CC1(C)CO1 0
Drug 5348                                                                                                                           COc1ccc(-c2nc(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)[nH]2)cc1 1
Drug 5327                                                                                                                                            Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1 0
Drug 3665                                                                                                                                                                      C[C@H]1CO1 1
Drug 1437                                                                                                                                                  CCOc1ccc(NC(=O)C[C@@H](C)O)cc1 1
Drug 4374                                                                                                                                                               CN(C)[N+](=O)[O-] 1
Drug 2832                                                                                                                                               CN(C)CCNC(=O)c1cccc2c1ncc1ccccc12 1
Drug 2625                                                                                                                                   C[C@@H]1OCCc2cc3c(cc21)C(C)(C)[C@@H](C)C3(C)C 0
Drug 7403                                                                                                                                                               CC1CN(N=O)CCN1N=O 1
Drug 6834                                                                                                                                        O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1 1
 Drug 817                                                                                                   COc1cc(/C=C/C(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O 0
Drug 7254                                                                                                                                                O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O 1
Drug 3981                                                                                                                                                                 CC(=O)OCc1ccco1 1
Drug 6680                                                                                                                                                           Nc1c2ccccc2nc2ccccc12 1
Drug 1045                                                                                                                                                      CNC(=O)N(c1ccccc1)c1ccccc1 0
Drug 6937                                                                                                                                  COC12C(=COC(N)=O)c3c(O)c(N)c(C)c(O)c3N1CC1NC12 1
Drug 3713                                                                                                                                                     Nc1ccc2nc3ccc(N)cc3[s+]c2c1 1
 Drug 980                                                                                                                                                      O=C1c2ccccc2C(=O)c2ccccc21 1
Drug 1625                                                                                                                                                   Cc1ccc2cc([N+](=O)[O-])ccc2c1 1
Drug 5646                                                                                                                                                              CCN(CC)c1ccc(N)cc1 1
Drug 7321                                                                                                                                                       NC(=O)N(CCCC(N)C(=O)O)N=O 1
Drug 5289                                                                                          CC(=O)OC1C(OC23C=C(C)C4(CC4)C(C)(O)C2C(=O)C(C)(C)C3)OC(CO)C(OC(=O)/C=C/c2ccc(O)cc2)C1O 1
 Drug 738                                                                                                                                                                 CN(N=O)c1cccnc1 0
Drug 6274                                                                                                                                        Cc1ccc(C)c2c1[nH]c1ccc([N+](=O)[O-])cc12 1
Drug 7165                                                                                                                                                            C1=CC2C3C=CC(C3)C2C1 0
Drug 1010                                                                                                      Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O 1
Drug 7114                                                                                                                                              CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1 0
Drug 5657                                                                                                                                                              COP(=O)(NC(C)=O)SC 0
Drug 7201                                                                                                                                         Nc1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2)c(N)c1 1
Drug 3623                                                                                                                                               Cc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45 1
Drug 3433                                                                                                                                  CCN(CC)c1ccc(-c2ccc(-c3ccc(N(CC)CC)cc3)cc2)cc1 1
Drug 1275                                                                                                                                                                  COc1ccc(CO)cc1 0
Drug 6876                                                                                                            CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1 1
Drug 4087                                                                                                                         CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccc(N=[N+]=[N-])cc23)cc1 1
Drug 1180                                                                                                                                                               CCOC(=O)N(CCO)N=O 1
Drug 4333                                                                                                                                                               CC(C)(C)N(CCO)CCO 0
Drug 2974                                                                                                                                                                  CCCCOCCOCCSC#N 0
 Drug 428                                                                                                                                     O=[N+]([O-])c1ccc2c3c(c(O)ccc13)-c1ccccc1-2 1
Drug 4188                                                                                                                                                          CN(C)P(=O)(N(C)C)N(C)C 0
Drug 6717                                                                                                                                                 NC(CCC(=O)NNc1ccc(CO)cc1)C(=O)O 1
Drug 4718                                                                                                                                                       O=[P@@]1(NCCCl)OCCCN1CCCl 1
Drug 4988                                                                                                                                                     Cc1c(Br)c(Br)c(Br)c(Br)c1Br 0
   Drug 7                                                                                                                                                    [N-]=[N+]=CC(=O)OCC(N)C(=O)O 1
Drug 4709                                                                                             CC(C)C1(NC(=O)C2CC3c4cccc5[nH]cc(c45)CC3N(C)C2)OC2(O)C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O 0
Drug 4725                                                                                                                                                N#[N+]c1cccc2c1C(=O)c1ccccc1C2=O 1
Drug 3468                                                                                                                                                             SC(S)=N/C=C/N=C(S)S 0
Drug 2852                                                                                                                                  NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O 1
Drug 4757                                                                                                                                                                   c1ccc2sncc2c1 0
 Drug 864                                                                                                                                                      [O-][Cl+3]([O-])([O-])[O-] 0
Drug 5913                                                                                                                           C/C=C1\CC(C)C(C)(O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O 1
Drug 1636                                                                                                                                                         Nc1ccc2c(c1)Cc1ccccc1-2 1
Drug 5525                                                                                  CN(C)[C@H]1C(=O)C(C(N)=O)=C(O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)[C@H]3[C@@H](O)[C@@H]12 0
Drug 6015                                                                                                                                                                      O=Cc1ccco1 1
Drug 6198                                                                                                                                 CCCC[C@@H](CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1 0
Drug 4213                                                                                                                                                                N#Cc1ccc(CCl)cc1 0
Drug 1696                                                                                                                                                                          CN=NNC 1
 Drug 974                                                                                                                                              O=S(=O)(Nc1ccccc1Cl)c1cccc2cccnc12 0
Drug 1708                                                                                                                                               Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl 0
Drug 6039                                                                                                                                          CC1(C)C[C@@H](N=C=O)C[C@](C)(CN=C=O)C1 0
Drug 4052                                                                                                                                                            CC(=O)Nc1snc2ccccc12 1
Drug 6793                                                                                                                                             O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CO 1
Drug 5685                                                                                                                                            Nc1nc(/C=C\c2ccc([N+](=O)[O-])o2)cs1 1
Drug 2156                                                                                                                                           Cc1cc2c(nc(N)n2C)c2nc(-c3ccccc3)cnc12 1
Drug 3885                                                                                                                                                                Cc1ccc(NO)c(C)c1 1
Drug 5145                                                                                                                                          CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12 0
Drug 3999                                                                                                                                                                     CCN(CCO)N=O 1
Drug 6293                                                                                                                                                            Nc1ccc(Oc2ccccc2)cc1 1
Drug 3676                                                                                                                                                   Nc1c(Cl)cc([N+](=O)[O-])cc1Cl 1
Drug 7164                                                                                                                            CC(=O)OC1(C(C)=O)CCC2C3CC(C)=C4CC(=O)CCC4(C)C3CCC21C 0
Drug 4733                                                                                                                                                CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1 1
Drug 3517                                                                                                                                                                         CCN=C=S 0
Drug 5242                                                                                                                                                        Nc1cccc([N+](=O)[O-])c1N 1
Drug 2065                                                                                                                                                    COC(=O)c1ccc([N+](=O)[O-])o1 1
Drug 1937                                                                                                                        CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C 0
Drug 7322                                                                                                                                                    Cc1ccccc1C(OCCN(C)C)c1ccccc1 0
Drug 2687                                                                                                                           CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-] 1
Drug 5223                                                                                                                                     COP(=O)(OC)O/C(C)=C\C(=O)O[C@@H](C)c1ccccc1 0
 Drug 403                                                                                                                                    C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45 1
 Drug 317                                                                                                                                                      Cc1cnc2c(ccc3c2nc(N)n3C)n1 1
 Drug 310                                                                                                                                                      C/C=C1\C[C@@H]2C=C[C@H]1C2 0
Drug 3264                                                                                                                                                           C/C=C\c1ccc(O)c(OC)c1 0
Drug 7253                                                                                                 CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(=O)C(C)=CC32)C2C(C)(C)C12OC(C)=O 0
 Drug 836                                                                                                                                                    ClCc1c2ccccc2c(CCl)c2ccccc12 1
Drug 6356                                                                                                                                                                 Fc1ccnc2ccccc12 1
Drug 6772                                                                                                                                       CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O 1
Drug 3439                                                                                                                                                     COc1cc2nc3ccccc3c(O)c2cc1OC 1
 Drug 919                                                                                                                                                                CC(=O)Nc1ccccc1C 1
Drug 1326                                                                                                                                                        COc1nsc2c(OCC3CO3)cccc12 1
Drug 3462                                                                                                                                         O=C(Nc1ccc(Cl)cc1)c1csc([N+](=O)[O-])c1 1
 Drug 521                                                                                                   CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1 0
Drug 6927                                                                                                                                          OC1C=Cc2c(ccc3c4c5c(cccc5cc23)C=C4)C1O 1
Drug 3343                                                                                                                                                         COC(=O)C(CSCCBr)NC(C)=O 1
Drug 2241                                                                                                                                                                  CCCCN(CCO)CCCC 0
Drug 6023                                                                                                                                                           CN(CCO)C(=O)Nc1ccccc1 0
Drug 6526                                                                                                                                                           CC(=O)Oc1ccccc1C(=O)O 0
Drug 1008                                                                                                                                 CCOCCOC(=O)c1cc(Cc2ccc(N)c(C(=O)OCCOCC)c2)ccc1N 0
Drug 2735                                                                                                                                                      CC(=O)OCNC(=O)c1ccc(Cl)cc1 0
Drug 5724                                                                                                                                                            CCNc1nc(Cl)nc(NCC)n1 0
Drug 6918                                                                                                                                                             CC(O)CN(CC(O)CO)N=O 1
Drug 3138                                                                                                                                                                  Cc1ccc(NO)cc1C 1
Drug 4130                                                                                                                                                    Nc1cc([N+](=O)[O-])cc(Cl)c1O 1
Drug 6040                                                                                                                                                         Cn1c(N)nc2c3ccncc3ccc21 1
Drug 1138                                                                                                                                           CCc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O 1
Drug 1645                                                                                                                                                   C[N+]1([O-])CC=C(c2ccccc2)CC1 0
Drug 2999                                                                                                                                                        C[N+]1=CC=C(c2ccccc2)CC1 1
Drug 1704                                                                                                                                                                           C=C=O 1
Drug 2393                                                                                                                                                              ONc1ccc(Cl)c(Cl)c1 0
Drug 2935                                                                                                                  O=C1c2c(O)ccc(Nc3ccc(CCO)cc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21 1
Drug 6260                                                                                                                                                                  CN(C)CCN(C)N=O 1
Drug 6295                                                                                                                                                                   CCOC(=O)N(C)C 1
Drug 5217                                                                                                                                      CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(O)=C(O)C1=O 0
 Drug 184                                                                                                                                                              CN(C[C@H](O)CO)N=O 1
Drug 7052                                                                                                                                            Cc1cc2c(c3ccc4ccccc4c13)C1OC1C(O)C2O 0
 Drug 788                                                                                                                                                                     Cn1ccnc1N=O 1
Drug 5431                                                                                                                                         NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl 0
Drug 4985                                                                                                                                                                    CN1CCN(C)CC1 0
Drug 5995                                                                                                                                                     Cc1cc(N)c([N+](=O)[O-])cc1N 1
Drug 3369                                                                                                                                                     CC(=O)Nc1nc2c3cccnc3ccc2n1C 1
 Drug 647                                                                                                                                                                           C=CCO 0
Drug 3974                                                                                                                        COc1cc([N+](=O)[O-])ccc1N=N[C@H](C(C)=O)C(=O)Nc1ccccc1OC 0
Drug 4685                                                                                                                                                      Cc1nccc2c1[nH]c1cc(O)ccc12 1
  Drug 26                                                                                                                                                  OCc1cc2c3c(cccc3c1)-c1ccccc1-2 0
Drug 2090                                                                                                                                                              C[C@@H](O)c1ccccc1 0
 Drug 979                                                                                                                                     CC[C@@H](C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5816                                                                                                                                                                 Nc1ccc2ccccc2n1 1
Drug 3645                                                                                                                                  O=[N+]([O-])c1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12 1
 Drug 835                                                                                                                                         C#CC(OC(=O)NC1CCCCC1)(c1ccccc1)c1ccccc1 1
Drug 5201                                                                                                                                                                 Cc1ccc(O)c(C)c1 1
 Drug 820                                                                                                                                                         CCCCCCCCCCCCCC[C@H]1CO1 0
Drug 7009                                                                                                                                                                    CCCCC(C=O)CC 0
Drug 5346                                                                                                                                                                    CC(=O)CC(C)C 0
Drug 2720                                                                                                                                          CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 7181                                                                                                                                     Nc1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2n1 0
 Drug 287                                                                                                                             CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1 0
Drug 5942                                                                                                                           CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C 0
Drug 6671                                                                                                                                            O=[N+]([O-])c1ccc(C=C=[N+]([O-])O)o1 1
 Drug 791                                                                                                                                   CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2C#N)cc1 1
 Drug 888                                                                                                                                                                          CCOCCO 0
Drug 4867                                                                                                                                                           Cc1c(-c2cnccn2)ssc1=S 0
 Drug 171                                                                                                                                        COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl 1
Drug 5867                                                                                                                                                             CCCCCCCCCC[C@H]1CO1 0
Drug 3580                                                                                                                                                              CCN(N=O)C(=O)N(C)C 1
Drug 4916                                                                                                                                                               OC1C=Cc2cccnc2C1O 0
   Drug 1                                                                                                                                    O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2 1
Drug 6667                                                                                                                                                 CC(=O)N1CCCC1C(=O)N(CC(=O)O)N=O 1
   Drug 9                                                                                                                          CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C 0
Drug 2597                                                                                                                                              CC(C)(C)NCC(O)COc1ccc(O)cc1C1CCCC1 0
Drug 4818                                                                                                                                   CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1 0
Drug 5919                                                                                                                                                       CCNc1cc2oc(=O)cc(C)c2cc1C 0
Drug 1929                                                                                                                                                            Cn1c(N)nc2cc(O)ccc21 0
Drug 4361                                                                                                                                              C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C 0
 Drug 311                                                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4 1
Drug 5874                                                                                                                                     c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1 1
Drug 6634                                                                                                                                      CC(=O)NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O 1
Drug 1962                                                                                                                          Cc1cc(C)c(S(=O)(=O)O)cc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O 0
Drug 6679                                                                                                                                                 OC1C=Cc2ccc3c(ccc4ccccc43)c2C1O 1
Drug 4276                                                                                                            CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O 0
Drug 1506                                                                                                                                                   Cc1cc([N+](=O)[O-])c2ccccc2c1 1
Drug 3563                                                                                                                                                   Cc1cnc2c(C)cc3c(nc(N)n3C)c2n1 1
Drug 4978                                                                                                                                                       COC(=O)c1ccc(CN(C)N=O)cc1 0
Drug 3124                                                                                                                                                                  ClC(Cl)C(Cl)Cl 0
Drug 1161                                                                                                                                           COc1cc(OC)c2c(=O)c3c(O)ccc(OC)c3oc2c1 1
Drug 5115                                                                                                                                       Cc1cc(O)c2c(c1)C(=O)c1c(O)c(O)cc(O)c1C2=O 1
Drug 6729                                                                                                                                           CCCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12 1
Drug 2785                                                                                                                                   O=[N+]([O-])c1ccc2oc3ccc([N+](=O)[O-])cc3c2c1 1
Drug 4359                                                                                                                                                           CC(C)COC(=O)c1ccccc1N 0
Drug 2623                                                                                                                                                          CC1=CC(C)(C)Nc2ccccc21 0
Drug 7551                                                                                                                                                      O=C(O)C1(O)CC(O)C(O)C(O)C1 0
Drug 1233                                                                                                                                           Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C)c2cc1C 1
Drug 4497                                                                                                                                                 CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1 0
Drug 6096                                                                                                                                                          CC(=O)CC(=O)Nc1ccccc1C 0
