                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                                                          flupentixol                                                                                                                                                                                                                                                                                                  OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                         methylprednisolone-aceponate                                                                                                                                                                                                                                                         CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          caproxamine                                                                                                                                                                                                                                                                                                                     CCCCC/C(=N/OCCN)c1ccc(C)c(N)c1 1
                                                         fexofenadine                                                                                                                                                                                                                                                                                     CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1 0
                                                        hexapropymate                                                                                                                                                                                                                                                                                                                              C#CCC1(OC(N)=O)CCCCC1 1
                                                           captodiame                                                                                                                                                                                                                                                                                                                 CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1 1
                                                         procyclidine                                                                                                                                                                                                                                                                                                                    OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1 1
                                                          pazinaclone                                                                                                                                                                                                                                                                                          O=C(CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1)N1CCC2(CC1)OCCO2 1
                                                           buciclovir                                                                                                                                                                                                                                                                                                               Nc1nc(=O)c2ncn(CC[C@@H](O)CO)c2[nH]1 1
                                                           tazobactam                                                                                                                                                                                                                                                                                                C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O 0
                                                        Nalidixicacid                                                                                                                                                                                                                                                                                                                    CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21 0
                                                            Indinavir                                                                                                                                                                                                                                                     CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O 1
                                                            reserpine                                                                                                                                                                                                                                             COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                                           benorilate                                                                                                                                                                                                                                                                                                             CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1 1
                                                          sifaprazine                                                                                                                                                                                                                                                                                                                       CN1CCN(c2ccccc2Cc2ccccc2)CC1 1
                                                           fenaperone                                                                                                                                                                                                                                                                                                        O=C(CCCN1CCN(C(=O)OC2CCCCC2)CC1)c1ccc(F)cc1 1
                                                         valdipromide                                                                                                                                                                                                                                                                                                                               CCCC(CCC)(CCC)C(N)=O 1
                                                      amylene-hydrate                                                                                                                                                                                                                                                                                                                                         CCC(C)(C)O 1
                                                         Ethylbenzene                                                                                                                                                                                                                                                                                                                                         CCc1ccccc1 1
                                                         Streptomycin                                                                                                                                                                                                         CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](N=C(N)N)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O 0
                                                          cefetrizole                                                                                                                                                                                                                                                                                     O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3ncn[nH]3)CS[C@H]12 0
                                                clocortolone-pivalate                                                                                                                                                                                                                                                                  C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)COC(=O)C(C)(C)C 1
                                                            cefonicid                                                                                                                                                                                                                                                                         O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)C(O)c3ccccc3)C(=O)N12 0
                                                      triflupromazine                                                                                                                                                                                                                                                                                                             CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21 1
                                                         domoprednate                                                                                                                                                                                                                                                               CCCC(=O)O[C@]1(C(C)=O)CCC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                             clotixamide(clotixamide)                                                                                                                                                                                                                                                                                                    CNC(=O)CCN1CCN(CCC=C2c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                                           celiprolol                                                                                                                                                                                                                                                                                                    CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1 1
                                                                   25                                                                                                                                                                                                                                                                                                              O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1 1
                                       mometasone(mometasone-furoate)                                                                                                                                                                                                                                                          C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl 1
                                                           mezilamine                                                                                                                                                                                                                                                                                                                    CNc1nc(Cl)c(SC)c(N2CCN(C)CC2)n1 1
                                                           naltrexone                                                                                                                                                                                                                                                                                       O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5 1
                                                            nalmefene                                                                                                                                                                                                                                                                                       C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5 1
                                               fluticasone-propionate                                                                                                                                                                                                                                              CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                         delergotrile                                                                                                                                                                                                                                                                                                      CN1C[C@@H](CC#N)CC2c3cccc4[nH]cc(c34)C[C@H]21 1
                                                        amitriptyline                                                                                                                                                                                                                                                                                                                     CN(C)CCC=C1c2ccccc2CCc2ccccc21 1
                                                            alentemol                                                                                                                                                                                                                                                                                                                  CCCN(CCC)C1Cc2cccc3cc(O)cc(c23)C1 1
                                                          eltoprazine                                                                                                                                                                                                                                                                                                                         c1cc2c(c(N3CCNCC3)c1)OCCO2 1
                                                 prednisolone-acetate                                                                                                                                                                                                                                                                CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          paraldehyde                                                                                                                                                                                                                                                                                                                                    CC1OC(C)OC(C)O1 1
                                                         lomefloxacin                                                                                                                                                                                                                                                                                                    CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21 0
                                                          mirfentanil                                                                                                                                                                                                                                                                                                        O=C(c1ccco1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1 1
                                                         methotrexate                                                                                                                                                                                                                                                                                    CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1 0
                                                           acebrochol                                                                                                                                                                                                                                                 CC(=O)OC1CC[C@@]2(C)C([C@@H]1Br)[C@H](Br)C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C 1
                                                          teicoplanin CCCCCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)cc(O)cc3[C@H](C(=O)O)NC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O 0
                                            nafenodone(dexnafenodone)                                                                                                                                                                                                                                                                                                               CN(C)CC[C@]1(c2ccccc2)CCc2ccccc2C1=O 1
                                                         testolactone                                                                                                                                                                                                                                                                                      C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CCC(=O)O2 0
                                                             m-Xylene                                                                                                                                                                                                                                                                                                                                       Cc1cccc(C)c1 1
                                                           adinazolam                                                                                                                                                                                                                                                                                                         CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2 1
                                                            Ofloxacin                                                                                                                                                                                                                                                                                                   CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 1
                                                          Chloroquine                                                                                                                                                                                                                                                                                                                  CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12 1
                                                    cefcanel-daloxate                                                                                                                                                                                                                                                                   Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1 0
                                                  levophenacylmorphan                                                                                                                                                                                                                                                                                                         O=C(CN1CCC23CCCCC2C1Cc1ccc(O)cc13)c1ccccc1 1
                                                          penciclovir                                                                                                                                                                                                                                                                                                                   Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1 1
                                                        triclacetamol                                                                                                                                                                                                                                                                                                                       O=C(Nc1ccc(O)cc1)C(Cl)(Cl)Cl 1
                                                       desoximetasone                                                                                                                                                                                                                                                               C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO 1
                                                           elanzepine                                                                                                                                                                                                                                                                                                               CCN(CC)C/C=C1/c2ccccc2Nc2cc(Cl)ccc21 1
                                                            tenoxicam                                                                                                                                                                                                                                                                                                         CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O 0
                                                   sulfonethylmethane                                                                                                                                                                                                                                                                                                                     CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC 1
                                                            sulpiride                                                                                                                                                                                                                                                                                                             CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC 1
                                                             SB201708                                                                                                                                                                                                                                                                                                    O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1 1
                                                         dimethadione                                                                                                                                                                                                                                                                                                                                  CC1(C)OC(=O)NC1=O 1
                                                        AmphotericinB                                                                                                                                      C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@H](C)[C@@H](O)[C@H]1C)O2 0
                                                         fluphenazine                                                                                                                                                                                                                                                                                                     OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                                        metampicillin                                                                                                                                                                                                                                                                                                    C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1 0
                                                           miconazole                                                                                                                                                                                                                                                                                                        Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1 1
                                                             EMD60400                                                                                                                                                                                                                                                                                                CN(C(=O)Cc1ccccc1N)[C@@H](CN1CC[C@@H](O)C1)c1ccccc1 0
                                                             pemoline                                                                                                                                                                                                                                                                                                                            NC1=NC(=O)C(c2ccccc2)O1 1
                                                            nialamide                                                                                                                                                                                                                                                                                                                   O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1 1
                                                           pancopride                                                                                                                                                                                                                                                                                                           Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl 1
                                                         fluocinonide                                                                                                                                                                                                                                         CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                                         clocortolone                                                                                                                                                                                                                                                                               C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)CO 1
                                                           idarubicin                                                                                                                                                                                                                                                      CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O 0
                                                          pirarubicin                                                                                                                                                                                                                                      COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@H]2CCCCO2)[C@H](C)O1 0
                                                          noxiptiline                                                                                                                                                                                                                                                                                                                    CN(C)CCON=C1c2ccccc2CCc2ccccc21 1
                                                       salicylic acid                                                                                                                                                                                                                                                                                                                                    O=C(O)c1ccccc1O 0
                                                          cormetasone                                                                                                                                                                                                                                                                                    CC1CC2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO 1
                                                           tymazoline                                                                                                                                                                                                                                                                                                                       Cc1ccc(C(C)C)c(OCC2=NCCN2)c1 0
                                                           Atovaquone                                                                                                                                                                                                                                                                                                     O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1 0
                                                         cephacetrile                                                                                                                                                                                                                                                                                    CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)CC#N)[C@@H]2SC1.[Na+] 0
                                                          metacetamol                                                                                                                                                                                                                                                                                                                                 CC(=O)Nc1cccc(O)c1 1
                                                         carvotroline                                                                                                                                                                                                                                                                                                              Fc1ccc2[nH]c3c(c2c1)CN(CCc1ccncc1)CC3 1
                                                          oxiperomide                                                                                                                                                                                                                                                                                                            O=c1[nH]c2ccccc2n1C1CCN(CCOc2ccccc2)CC1 1
                                                          deflazacort                                                                                                                                                                                                                                                     CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C 1
                                                          cefpodoxime                                                                                                                                                                                                                                                                          COCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1.[Na+] 0
                                                          propicillin                                                                                                                                                                                                                                                                                                    CCC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O 0
                                                   Diethylstilbestrol                                                                                                                                                                                                                                                                                                                CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1 0
                                                           lesopitron                                                                                                                                                                                                                                                                                                                  Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1 1
                                                          hydrocodone                                                                                                                                                                                                                                                                                            COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314 1
                                                          tolufazepam                                                                                                                                                                                                                                                                                         Cc1ccc(S(=O)(=O)CCN2C(=O)CN=C(c3ccccc3Cl)c3cc(Cl)ccc32)cc1 1
                                                           ipsapirone                                                                                                                                                                                                                                                                                           O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1.[Cl-].[H+] 1
                                                                 cp29                                                                                                                                                                                                                                                                                                                              CCCCCn1ccc(=O)c(O)c1C 1
                                                           rasagiline                                                                                                                                                                                                                                                                                                                            C#CCN[C@@H]1CCc2ccccc21 1
                                                        Isoproterenol                                                                                                                                                                                                                                                                                                                          CC(C)NCC(O)c1ccc(O)c(O)c1 0
                                                          butoctamide                                                                                                                                                                                                                                                                                                                             CCCCC(CC)CNC(=O)CC(C)O 1
                                                             SB204457                                                                                                                                                                                                                                                                                                 COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2 1
                                                                cp102                                                                                                                                                                                                                                                                                                                               CCc1c(O)c(=O)ccn1CCO 0
                                                         zylofuramine                                                                                                                                                                                                                                                                                                                     CCN[C@H](Cc1ccccc1)[C@H]1CCCO1 1
                                                   homochlorcyclizine                                                                                                                                                                                                                                                                                                                CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1 1
                                    ademetionine(adenosyl-methionine)                                                                                                                                                                                                                                                                         C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O 1
                                                             Pindolol                                                                                                                                                                                                                                                                                                                      CC(C)NCC(O)COc1cccc2[nH]ccc12 1
                                                        tetrabarbital                                                                                                                                                                                                                                                                                                                     CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O 1
                                                              Digoxin                                                                                                                                                       C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O 0
                                                       chlorpropamide                                                                                                                                                                                                                                                                                                                    CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1 0
                                                             prazepam                                                                                                                                                                                                                                                                                                             O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1 1
                                                          cannabidiol                                                                                                                                                                                                                                                                                                         C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O 1
                                                          cetotiamine                                                                                                                                                                                                                                                                                                  CCOC(=O)OCC/C(SC(=O)OCC)=C(\C)N(C=O)Cc1cnc(C)nc1N 1
                                                          suclofenide                                                                                                                                                                                                                                                                                                    NS(=O)(=O)c1ccc(N2C(=O)CC(c3ccccc3)C2=O)c(Cl)c1 1
                                                          cinolazepam                                                                                                                                                                                                                                                                                                        N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21 1
                                                            spirilene                                                                                                                                                                                                                                                                                                  C/C(=C/CCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1 1
                                                           oxiracetam                                                                                                                                                                                                                                                                                                                                NC(=O)CN1CC(O)CC1=O 1
