                                              cintriamide(cintramide)                                                                                                                                                                                                                                                                                                                      COc1cc(/C=C/C(N)=O)cc(OC)c1OC 1
                                                         iprozilamine                                                                                                                                                                                                                                                                                                                  CSc1c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1 1
                                                           cyprazepam                                                                                                                                                                                                                                                                                                           ON1CC(=NCC2CC2)N=c2ccc(Cl)cc2=C1c1ccccc1 1
                                                           sulmepride                                                                                                                                                                                                                                                                                                              COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCN1C 1
                                                          lofepramine                                                                                                                                                                                                                                                                                          CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1.[Cl-].[H+] 1
                                                            timelotem                                                                                                                                                                                                                                                                                                                CN1CCN2c3cc(F)ccc3C(c3cccs3)=NCC2C1 1
                                                       phenethicillin                                                                                                                                                                                                                                                                                                     CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O 0
                                                      diphenhydramine                                                                                                                                                                                                                                                                                                                        CN(C)CCOC(c1ccccc1)c1ccccc1 1
                                                         cropropamide                                                                                                                                                                                                                                                                                                                   C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C 1
                                                          dimetacrine                                                                                                                                                                                                                                                                                                                 CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21 1
                                              triamcinolone-acetonide                                                                                                                                                                                                                                                      CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1 1
                                                        sulfonmethane                                                                                                                                                                                                                                                                                                                      CCS(=O)(=O)C(C)(C)S(=O)(=O)CC 1
                                                           ethypicone                                                                                                                                                                                                                                                                                                                           CCC1(CC)C(=O)NC=C(C)C1=O 1
                                                isoflupredone-acetate                                                                                                                                                                                                                                                             CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                           velnacrine                                                                                                                                                                                                                                                                                                                           Nc1c2c(nc3ccccc13)CCCC2O 1
                                                           amesergide                                                                                                                                                                                                                                                                                            CC(C)n1cc2c3c(cccc31)C1C[C@@H](C(=O)NC3CCCCC3)CN(C)C1C2 1
                    hydrocortisonecypionate(hydrocortisone-cipionate)                                                                                                                                                                                                                                                         C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O.O 1
                                                           Amifostine                                                                                                                                                                                                                                                                                                                                  NCCCNCCSP(=O)(O)O 0
                                                          drocinonide                                                                                                                                                                                                                                                                   CC1(C)O[C@@H]2C[C@H]3C4CCC5CC(=O)CCC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1 1
                                                             ampyzine                                                                                                                                                                                                                                                                                                                                      CN(C)c1cnccn1 1
                                                       chloralhydrate                                                                                                                                                                                                                                                                                                                                   OC(O)C(Cl)(Cl)Cl 1
                                                          deflazacort                                                                                                                                                                                                                                                     CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C 1
                                                               Hexane                                                                                                                                                                                                                                                                                                                                             CCCCCC 1
                                                          Pirenzepine                                                                                                                                                                                                                                                                                                         CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1 1
                                                            carperone                                                                                                                                                                                                                                                                                                          CC(C)NC(=O)OC1CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                            Topotecan                                                                                                                                                                                                                                                                                       CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1 1
                                                          Minocycline                                                                                                                                                                                                                                                                 CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O 1
                                            nafenodone(dexnafenodone)                                                                                                                                                                                                                                                                                                               CN(C)CC[C@]1(c2ccccc2)CCc2ccccc2C1=O 1
                                       sulfamethoxazole(tiabendazole)                                                                                                                                                                                                                                                                                                                    Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1 1
                                                          mirfentanil                                                                                                                                                                                                                                                                                                        O=C(c1ccco1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1 1
                                                 cefuroxime-pivoxetil                                                                                                                                                                                                                                                                  COCCCC(=O)OC(C)OC(=O)C1=C(COC(N)=O)CS[C@@H]2[C@H](NC(=O)/C(=N\OC)c3ccco3)C(=O)N12 0
                                            alphaprodine(betaprodine)                                                                                                                                                                                                                                                                                                                     CCC(=O)OC1(c2ccccc2)CCN(C)CC1C 1
                                                           metazocine                                                                                                                                                                                                                                                                                                                        CC1C2Cc3ccc(O)cc3C1(C)CCN2C 1
                                                             nicotine                                                                                                                                                                                                                                                                                                                               CN1CCC[C@H]1c1cccnc1 1
                                                            clomacran                                                                                                                                                                                                                                                                                                                   CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21 1
                                                          spiradoline                                                                                                                                                                                                                                                                                     CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@H]1CC[C@@]2(CCCO2)C[C@@H]1N1CCCC1 1
                                                           supidimide                                                                                                                                                                                                                                                                                                                  O=C1NCCCC1N1C(=O)c2ccccc2S1(=O)=O 1
                                                                 MPTP                                                                                                                                                                                                                                                                                                                               CN1CC=C(c2ccccc2)CC1 1
                                                            trizoxime                                                                                                                                                                                                                                                                                                             N/C(N=O)=C1\NNc2ccccc2N(Cc2ccccc2)C1=O 1
                                                          azacyclonol                                                                                                                                                                                                                                                                                                                     OC(c1ccccc1)(c1ccccc1)C1CCNCC1 1
                                                            cefsumide                                                                                                                                                                                                                                                                           CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3cccc(NS(C)(=O)=O)c3)[C@H]2SC1 0
                                                           tonazocine                                                                                                                                                                                                                                                                                              CCCCCC(=O)CC[C@]1(C)[C@@H]2Cc3ccc(O)cc3[C@@]1(C)CCN2C 1
                                                       dihydrocodeine                                                                                                                                                                                                                                                                                        COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314 1
                                                        sarmoxicillin                                                                                                                                                                                                                                                                                         COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C 0
                                                           suproclone                                                                                                                                                                                                                                                                                      CCC(=O)N1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1 1
                                                                    4                                                                                                                                                                                                                                                                                               CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1 0
                                                         prothipendyl                                                                                                                                                                                                                                                                                                                       CN(C)CCCN1c2ccccc2Sc2cccnc21 1
                                                           cefoxazole                                                                                                                                                                                                                                                                            CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)c3c(-c4ccccc4Cl)noc3C)[C@H]2SC1 0
                                                           folic-acid                                                                                                                                                                                                                                                                                   Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1 1
                                                          haloxazolam                                                                                                                                                                                                                                                                                                              O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1 1
                                                            ocinaplon                                                                                                                                                                                                                                                                                                              O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12 1
                                                           imipramine                                                                                                                                                                                                                                                                                                                      CN(C)CCCN1c2ccccc2CCc2ccccc21 1
                                                            Ketorolac                                                                                                                                                                                                                                                                                                                    O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O 0
                                                     phenoxybenzamine                                                                                                                                                                                                                                                                                                                     CC(COc1ccccc1)N(CCCl)Cc1ccccc1 0
                                                       Demeclocycline                                                                                                                                                                                                                                                      CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12 0
  methylprednisolone21hemisuccinate(methylprednisolone-hemisuccinate)                                                                                                                                                                                                                                                   CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                            ripazepam                                                                                                                                                                                                                                                                                                                 CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2 1
                                                            sulopenem                                                                                                                                                                                                                                                                                           C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3CCS(=O)C3)S[C@H]12 0
                                                                   18                                                                                                                                                                                                                                                                                                                                              ClCCl 1
                                                             bepridil                                                                                                                                                                                                                                                                                                            CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1 0
                                                        berythromycin                                                                                                                                                                                                              CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C 0
                                                            cimemoxin                                                                                                                                                                                                                                                                                                                                        NNCC1CCCCC1 1
                                                        fluocortolone                                                                                                                                                                                                                                                           C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO 1
                                                        lexithromycin                                                                                                                                                                                                        CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(O)C[C@@H](C)/C(=N\OC)[C@H](C)[C@@H](O)[C@]1(C)O 0
                                                             ropizine                                                                                                                                                                                                                                                                                                      Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1 1
                                                           mirisetron                                                                                                                                                                                                                                                                                           CN1[C@H]2CC[C@@H]1CC(NC(=O)c1cn(C3CCCCC3)c3ccccc3c1=O)C2 1
                                                        pirbenicillin                                                                                                                                                                                                                                                                            CC1(C)SC2C(N(C(=N)c3ccncc3)[C@H](C(=O)NC(=O)CN)c3ccccc3)C(=O)N2C1C(=O)O 0
                                                         TetraCycline                                                                                                                                                                                                                                                        CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12 0
                                                           etacepride                                                                                                                                                                                                                                                                                                                 CCN1CCCC1CNC(=O)c1cc(C(C)=O)ccc1OC 1
                                                          cormetasone                                                                                                                                                                                                                                                                                    CC1CC2C3CC(F)(F)C4=CC(=O)C=C[C@]4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO 1
                                                          apomorphine                                                                                                                                                                                                                                                                                                              CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3 1
                                                             BRL53087                                                                                                                                                                                                                                                                                                CC1(C)CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1 1
                                             triamcinolone-benetonide                                                                                                                                                                                                                              CC(CNC(=O)c1ccccc1)C(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                                          pimethixene                                                                                                                                                                                                                                                                                                                   CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1 1
                                                diflorasone-diacetate                                                                                                                                                                                                                                        CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                              diosmin                                                                                                                                                                                                                           COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O 0
                                                          cyprodenate                                                                                                                                                                                                                                                                                                                            CN(C)CCOC(=O)CCC1CCCCC1 1
                                                          simvastatin                                                                                                                                                                                                                                                            CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21 1
                                                          flumoxonide                                                                                                                                                                                                                                                               COC(OC)C(=O)[C@@]12OC(C)(C)O[C@@H]1CC1C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC12C 1
                                                            Indinavir                                                                                                                                                                                                                                                     CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O 1
                                                           topiramate                                                                                                                                                                                                                                                                                       CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1 1
                                                         salicylamide                                                                                                                                                                                                                                                                                                                                    NC(=O)c1ccccc1O 1
                                                         fenpentadiol                                                                                                                                                                                                                                                                                                                       CC(C)(O)CC(C)(O)c1ccc(Cl)cc1 1
                                                           salbutamol                                                                                                                                                                                                                                                                                                                      CC(C)(C)NCC(O)c1ccc(O)c(CO)c1 0
                                                          lymecycline                                                                                                                                                                                                                                         CN(C)[C@@H]1C(=O)/C(=C(/N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+] 0
                                                             levodopa                                                                                                                                                                                                                                                                                                                     N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O 1
                                                            savoxepin                                                                                                                                                                                                                                                                                                     N#Cc1ccc2c(c1)C1=C(CCN(CC3CCCC3)CC1)c1ccccc1O2 1
                                                            ibuprofen                                                                                                                                                                                                                                                                                                                         CC(C)Cc1ccc(C(C)C(=O)O)cc1 0
                                                             clodazon                                                                                                                                                                                                                                                                                                           CN(C)CCCn1c(=O)n(-c2ccccc2)c2cc(Cl)ccc21 1
                                                            mescaline                                                                                                                                                                                                                                                                                                                              COc1cc(CCN)cc(OC)c1OC 1
                                                             endomide                                                                                                                                                                                                                                                                                          CCN(CC)C(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@H]1C(=O)N(CC)CC 1
                                                           tymazoline                                                                                                                                                                                                                                                                                                                       Cc1ccc(C(C)C)c(OCC2=NCCN2)c1 0
                                                           bromisoval                                                                                                                                                                                                                                                                                                                             CC(C)C(Br)C(=O)NC(N)=O 1
                                                           bentazepam                                                                                                                                                                                                                                                                                                               O=C1CNC(c2ccccc2)=c2c3c(sc2=N1)CCCC3 1
                                                          lamotrigine                                                                                                                                                                                                                                                                                                                      Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1 1
                                                                7-K06                                                                                                                                                                                                                                                                                                          CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1 1
                                                           tifemoxone                                                                                                                                                                                                                                                                                                                             S=C1NCCC(COc2ccccc2)O1 1
                                                             pimozide                                                                                                                                                                                                                                                                                           O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 1
                                                haloperidol-decanoate                                                                                                                                                                                                                                                                                         CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                             fenimide                                                                                                                                                                                                                                                                                                                       CCC1C(=O)NC(=O)C1(C)c1ccccc1 1
                                                             Org30526                                                                                                                                                                                                                                                                                                             Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2 1
                                                          sanfetrinem                                                                                                                                                                                                                                                                                                         COC1CCCC2C1=C(C(=O)[O-])N1C(=O)C(C(C)O)C21 0
                                                            deprodone                                                                                                                                                                                                                                                                                                    CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C 1
                                                            lenperone                                                                                                                                                                                                                                                                                                      O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1 1
                                                          Sevoflurane                                                                                                                                                                                                                                                                                                                             FCOC(C(F)(F)F)C(F)(F)F 1
                                                           Ketoprofen                                                                                                                                                                                                                                                                                                                  CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1 1
                                                          ciclesonide                                                                                                                                                                                                                                       CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C 1
                                                           panadiplon                                                                                                                                                                                                                                                                                                      CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21 1
                                                         methaqualone                                                                                                                                                                                                                                                                                                                      Cc1ccccc1-n1c(C)nc2ccccc2c1=O 1
                                                           tuclazepam                                                                                                                                                                                                                                                                                                                CN1c2ccccc2C(c2ccccc2Cl)=NCC1(Cl)CO 1
                                              hydrocortisone-butyrate                                                                                                                                                                                                                                                                CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
