CHEMBL1831214                                                                                                                                                                                                                                                NC(=O)Nc1cc(-c2ccccc2)sc1C(N)=O 1.0
CHEMBL2088096                                                                                                                                                                                                                          COc1cc(CCc2cc(Nc3ccnc(NCc4cc(C)no4)n3)n[nH]2)cc(OC)c1 1.0
CHEMBL1939752                                                                                                                                                                                                            CCOC(=O)Nc1cccc([C@@H](c2ccc(C(=O)N3CCC3)cc2)N2CCN(Cc3cccnc3)CC2)c1 1.0
CHEMBL2171984                                                                                                                                                                                                                          N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(c2ccc(F)cc2)CC1 1.0
      CHEMBL4                                                                                                                                                                                                                               CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 0.0
CHEMBL1623850                                                                                                                                                                                                                                            CC(=O)N1CCN(CC(O)COc2ccc(Br)cc2)CC1 1.0
 CHEMBL412142                                                                                                                                                                                                                       Cc1c[nH]c(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)n1 1.0
 CHEMBL193646                                                                                                                                                                                                                                                       c1ccc(CNCCNCc2ccccc2)cc1 0.0
 CHEMBL467028                                                                                                                                                                                                                                                   O=c1oc2ccc(O)cc2cc1-c1ccccc1 1.0
 CHEMBL397237                                                                                                                                                                                                                                    C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12 1.0
CHEMBL2048868                                                                                                                                                                                                                                  COc1cccc(/C=C2\SC(=O)NC2=O)c1N1CCC[C@@H](N)C1 1.0
 CHEMBL205742                                                                                                                                                                                                          CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccccc34)sc21 1.0
 CHEMBL128134                                                                                                                                                                                                                                              CCN1CCN(C(=O)c2cc3ccccc3[nH]2)CC1 1.0
     CHEMBL23                                                                                                                                                                                                                      COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1 1.0
CHEMBL2030443                                                                                                                                                                                                                                   CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc(CO)c2)n1 0.0
CHEMBL1084546                                                                                                                                                                                                                 CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O 1.0
    CHEMBL193                                                                                                                                                                                                                           COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-] 1.0
CHEMBL1197102                                                                                                                                                                                                                                NC1CCc2cc(OC(=O)c3ccccc3)c(OC(=O)c3ccccc3)cc2C1 1.0
  CHEMBL81624                                                                                                                                                                                                              COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1ncc2ccc(NC(=O)CC3CCCC3)cc21 1.0
 CHEMBL451570                                                                                                                                                                                                                                      Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1 0.0
CHEMBL2011895                                                                                                                                                                                                                                 CNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12 1.0
CHEMBL1933596                                                                                                                                                                                                             C[C@H]1O[C@@H](n2cnc3c(N)nc(OCC4CCC(F)(F)CC4)nc32)[C@H](O)[C@@H]1O 1.0
 CHEMBL102726                                                                                                                                                                                                                                                     c1ccc(CNc2ncnc3ccccc23)cc1 1.0
 CHEMBL526925                                                                                                                                                                                                                                            Cn1cnc(-c2ccccc2)c1/C=C/c1ccnc(N)n1 1.0
 CHEMBL242341                                                                                                                                                                                                                                               COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1 1.0
     CHEMBL36                                                                                                                                                                                                                                                  CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1 1.0
CHEMBL2170837                                                                                                                                       CCn1c(C)c(C(=O)O)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c1-c1ccc(Cl)cc1 1.0
 CHEMBL192307                                                                                                                                                                                                                                               CCCCc1nc2c(N)nc3ccccc3c2n1CC(C)C 1.0
 CHEMBL127907                                                                                                                                                                                                                                               COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC 1.0
 CHEMBL452021                                                                                                                                                                                                                                    CN(C)CCOc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1 1.0
CHEMBL2335878                                                                                                                                                                                                                              CN(C)CCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 1.0
CHEMBL2010853                                                                                                                                                                                                           CN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)[C@@H]1CCN(Cc2nc3cc(F)ccc3s2)C[C@@H]1F 1.0
CHEMBL1077827                                                                                                                                                                                            CCOc1ccc(-n2c([C@@H](C)N(CC3CCN(C)CC3)C(=O)Cc3ccc(F)c(C(F)(F)F)c3)nc3ncccc3c2=O)cc1 1.0
 CHEMBL266922                                                                                                                                                                                              CCCSc1nc(N[C@@H]2C[C@H]2c2ccccc2)c2nnn([C@@H]3C[C@H](C(N)=O)[C@@H](O)[C@H]3O)c2n1 1.0
CHEMBL1269076                                                                                                                                                                                     CC1=C(C2=C(C)C(=O)c3c(cc(O)c(O)c3CCc3ccc(C)cc3)C2=O)C(=O)c2cc(O)c(O)c(CCc3ccc(C)cc3)c2C1=O 1.0
 CHEMBL437526                                                                                                                                                                                           CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2C(=O)CC[C@H](NC(=O)c3nccc4ccccc34)C(=O)N12 1.0
 CHEMBL336923                                                                                                                                                                                                                            CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1)C(F)(F)F 1.0
  CHEMBL60088                                                                                                                                                                                                                                                         N=C(N)c1cc2c(I)cccc2s1 0.0
 CHEMBL336399                                                                                                                                                                                                                                                   O=C(O)c1cc2ccccc2n1Cc1ccccc1 0.0
 CHEMBL288470                                                                                                                                                                                                                                                Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C 0.0
CHEMBL1332736                                                                                                                                                                                                                                                         O=C(Oc1ccccc1)N1CCOCC1 1.0
 CHEMBL199147                                                                                                                                                                                                           CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1 1.0
CHEMBL2325622                                                                                                                                                                                                                  CN1CC(n2nccc2-c2cc(Cl)ccc2Oc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1 0.0
CHEMBL1415894                                                                                                                                                                                                                                               c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1 1.0
 CHEMBL226959                                                                                                                                                                                                                     COC(=O)c1ccc(Cn2[nH]c(=O)c3[nH]c4cc(Cl)ccc4c(=O)c3c2=O)cc1 1.0
CHEMBL1650726                                                                                                                                                                                                                                Cc1cc(Nc2nc(O[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1 1.0
 CHEMBL393501                                                                                                                                                                                                                                          Cn1c(N)nc(CCc2cccc(-c3ccccc3)c2)cc1=O 1.0
CHEMBL1455292                                                                                                                                                                                                                                          CCCCN1Cc2c(nc3cc(-c4ccco4)nn3c2O)C1=O 0.0
CHEMBL1916272                                                                                                                                                                                                                        CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1 1.0
 CHEMBL256322                                                                                                                                                                                                                                        CCNCc1cnc(-c2ccc(C(=O)Nc3ccccc3N)cc2)s1 0.0
     CHEMBL62                                                                                                                                                                                                                                         CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1 1.0
 CHEMBL260374                                                                                                                                                                                                                                             S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1 1.0
 CHEMBL277148                                                                                                                                                                                                                                                     Oc1cc(-c2ccccc2)nc2ccccc12 1.0
 CHEMBL207100                                                                                                                                                                                                          CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cncc4ccccc34)sc21 1.0
CHEMBL2177612                                                                                                                                                                                                                            CCCSc1c(C(=O)NC2CCCCC2)cnn1[C@H]1CC[C@H](C(=O)O)CC1 1.0
CHEMBL2068760                                                                                                                                                                                                                                                           CN1CCC[C@H]1c1ccccn1 0.0
CHEMBL1706173                                                                                                                                                                                                                 COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CCC(=O)N2C 1.0
 CHEMBL360106                                                                                                                                                                                                               CCN(C(=O)Cc1ccc([N+](=O)[O-])cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1 1.0
 CHEMBL206266                                                                                                                                                                                                                        COc1cc2c(Nc3ncc(NC(=O)c4ccccc4)cn3)ncnc2cc1OCCCN1CCOCC1 1.0
 CHEMBL101779                                                                                                                                                                                                                                 COc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1 1.0
CHEMBL2335901                                                                                                                                                                                                                    C[C@@H](NC(=O)C1CCNCC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 0.0
CHEMBL1644331                                                                                                                                                                                                                                                      c1ccc(Sc2ccc3ccccc3n2)cc1 1.0
   CHEMBL1441                                                                                                                                                                                                                                                             CCc1cc(C(N)=S)ccn1 1.0
 CHEMBL551170                                                                                                                                                                                                                      O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl 1.0
 CHEMBL487274                                                                                                                                                                                                                                                    Cc1cc2n[nH]c(=O)n2c2ccccc12 1.0
  CHEMBL62746                                                                                                                                                                                                                     N=C(N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1 0.0
CHEMBL2028019                                                                                                                                                                                                                        CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1 1.0
CHEMBL2069324                                                                                                                                                                                                             N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(-c4ccccc4)cs3)CC2)CC1 1.0
 CHEMBL572878                                                                                                                                                                                                                    Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1 1.0
CHEMBL1778652                                                                                                                                                                                                                            CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2CCC(=O)O)c(C)c1 0.0
CHEMBL1682826                                                                                                                                                                                                                                                   O=C1CCOc2nc(OCc3ccccc3)ccc21 1.0
CHEMBL2031235                                                                                                                                                                                                                         Cc1ccc(NC(=O)c2ccno2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O 1.0
CHEMBL1333251                                                                                                                                                                                                                                                       CC(=O)Nc1nc(-c2cccs2)cs1 1.0
CHEMBL1083943                                                                                                                                                                                                                         O=C(O)C[C@@H]1c2ccccc2C[C@H]1NC(=O)c1cc2cc(F)ccc2[nH]1 1.0
CHEMBL1762548                                                                                                                                                                                                                   Cc1ccc(CO)cc1N(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)C(C)C 1.0
CHEMBL1538857                                                                                                                                                                                                                                                     Cc1cc(Nc2ccccc2)n(CCC#N)n1 1.0
 CHEMBL352576                                                                                                                                                                                                                                      CC(=O)NCc1ccc(CN2CCN(c3ccc(F)cc3F)CC2)cc1 1.0
 CHEMBL440464                                                                                                                                                                                                                                                               CN1CCCC1c1cccnc1 0.0
CHEMBL1669155                                                                                                                                                                                                              CC1(COc2cc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)ccc2NC(=O)CN2CCOCC2)COC1 1.0
  CHEMBL25236                                                                                                                                                                                                                                   COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1 1.0
 CHEMBL205133                                                                                                                                                                                                                              Nc1c(C(=O)c2cccc(OC[C@H](O)CO)c2)cnn1-c1ccc(F)cc1 1.0
CHEMBL1809194                                                                                                                                                                                                                      COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Br)c(-c2cnc3ccccn23)n1 1.0
CHEMBL1933594                                                                                                                                                                                                           C[C@H]1O[C@@H](n2cnc3c(N)nc(OCC4CC(F)(F)C4(F)F)nc32)[C@H](O)[C@@H]1O 1.0
CHEMBL1407985                                                                                                                                                                                                                                                           N=C(N)Nc1nc2ccccc2o1 1.0
 CHEMBL103355                                                                                                                                                                                                                                 Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1 1.0
 CHEMBL178737                                                                                                                                                                                                              O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2 1.0
CHEMBL1650697                                                                                                                                                                                                                                 Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2F)n[nH]1 1.0
CHEMBL2207599                                                                                                                                                                                                                     COc1cc(OC)c(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1NC(=O)CCC(=O)O 0.0
 CHEMBL550167                                                                                                                                                                                                                               O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(OCCCNCCCO)ccc1Cl 1.0
CHEMBL1389370                                                                                                                                                                                                                                CCN(CC)CCNc1ncnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3 1.0
CHEMBL2325601                                                                                                                                                                                                                Nc1n[nH]cc1-c1cc(C(F)(F)F)ccc1Oc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl 1.0
CHEMBL1289114                                                                                                                                                                                                                                        O=C(COCc1ccncc1)N1CCN(c2ccc(Cl)cc2F)CC1 1.0
CHEMBL1957381                                                                                                                                                                                                                                    Cc1cc(-c2ccc(-c3nc4ccncc4c(O)c3C#N)cc2)ccn1 1.0
CHEMBL1541257                                                                                                                                                                                                                                                  c1cc2c(cc1-c1cnc3n1CCC3)OCCO2 1.0
CHEMBL2178943                                                                                                                                                                                                                   Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(Cl)c2)nc1C(N)=O 1.0
 CHEMBL320971                                                                                                                                                                                                                                Cc1ncsc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12 1.0
 CHEMBL444884                                                                                                                                                                                                                                                  NC(=O)c1sc(-c2ccc(Cl)cc2)cc1N 1.0
   CHEMBL1481                                                                                                                                                                                                         CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O 1.0
CHEMBL1472189                                                                                                                                                                                                                                            COc1ccc(CC(=O)Nc2nc3ccccc3[nH]2)cc1 1.0
CHEMBL1890574                                                                                                                                                                                                                              O=C(Cc1c(C(=O)O)[nH]c2ccccc12)Nc1cccc(C(F)(F)F)c1 1.0
CHEMBL2326686                                                                                                                                                                                                                                                        Fc1ccc(C2CC=CCNC2)cc1Cl 1.0
CHEMBL1778624                                                                                                                                                                                                                                        O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1 0.0
CHEMBL1607077                                                                                                                                                                                                                                             O=C(NCc1ccncc1)c1ccc(Oc2ccccc2)cc1 1.0
 CHEMBL110999                                                                                                                                                                                                                                     CN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2nc(O)sc12 1.0
CHEMBL2036752                                                                                                                                                                                                                              CCN1CCC[C@H](CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1 1.0
CHEMBL2023489                                                                                                                                                                                                                            COc1ccc2c(Oc3ccc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1 1.0
   CHEMBL1502                                                                                                                                                                                                                              COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC 1.0
CHEMBL1289779                                                                                                                                                                                                                                         CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl 1.0
 CHEMBL499864                                                                                                                                                                                                                                              Cn1cnc(-c2ccccc2)c1C#Cc1ccnc(N)n1 1.0
 CHEMBL319118                                                                                                                                                                                                                                COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1 1.0
CHEMBL1311211                                                                                                                                                                                                                                 N#Cc1cnn(-c2ccccc2)c1NC(=O)CN1CCN(c2ccccc2)CC1 1.0
CHEMBL1689111                                                                                                                                                                                                                              O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1 0.0
 CHEMBL417727                                                                                                                                                                                                                                               Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2 1.0
CHEMBL2326472                                                                                                                                                                                                                                             Cn1cc(CN2CCc3cc4nc(N)sc4cc3CC2)cn1 1.0
 CHEMBL186665                                                                                                                                                                                                                        Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OCCCN(C)C)n1 1.0
CHEMBL1778628                                                                                                                                                                                                                                       N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1 0.0
 CHEMBL487066                                                                                                                                                                                                                               Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CC4)cc3)n2)n1C(C)C 1.0
  CHEMBL75200                                                                                                                                                                                                                                                               O=c1ccnc2ccccn12 0.0
CHEMBL1180725                                                                                                                                                                                                                                CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C 0.0
CHEMBL2035038                                                                                                                                                                                                                                NC1(c2ccc(-c3nc4ccccc4c(=O)n3-c3ccccc3)cc2)CCC1 1.0
CHEMBL1076211                                                                                                                                                                                                                                                  Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1 1.0
CHEMBL1650698                                                                                                                                                                                                                            C[C@H](Nc1ncc(F)c(Nc2cc(C3CC3)[nH]n2)n1)c1ncc(F)cn1 1.0
CHEMBL1916545                                                                                                                                                                                                                           COc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1 1.0
 CHEMBL266195                                                                                                                                                                                                                                                      C=CCc1ccccc1OCC(O)CNC(C)C 0.0
CHEMBL2179289                                                                                                                                                                                                                          Cc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1 1.0
 CHEMBL207584                                                                                                                                                                                                                             COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O 1.0
CHEMBL1459983                                                                                                                                                                                                                                 COc1ccc(-n2cnc3cc(NS(=O)(=O)c4ccccc4)ccc32)cc1 1.0
CHEMBL2036739                                                                                                                                                                                                                   O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(NC(=O)C2(c3ccc(Cl)cc3)CCCC2)o1 1.0
CHEMBL1289283                                                                                                                                                                                                                                O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1 1.0
CHEMBL2171277                                                                                                                                                                                                                         Cc1ccc(NC(=O)[C@H]2CCCN2S(=O)(=O)c2cccc3cccnc23)c(C)c1 1.0
CHEMBL1944739                                                                                                                                                                                                                                                 CN(C)CCCNC(=O)c1nc(Cl)c(N)nc1N 0.0
 CHEMBL474830                                                                                                                                                                                                                                               CC(C)CNc1nc(C#N)nc(N2CC(O)C2)c1N 1.0
 CHEMBL513412                                                                                                                                                                                                                  COc1ccc(N(C(=O)c2occc2C)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1 1.0
CHEMBL1087268                                                                                                                                                                                                                        Cc1cnc(Nc2cc(N3CCN(C)CC3)nc(N[C@@H](C)c3ccc(F)cn3)n2)s1 1.0
CHEMBL1352372                                                                                                                                                                                                                                             N#Cc1c(N)nc2c(c1N)CC(COc1ccccc1)O2 1.0
CHEMBL1643203                                                                                                                                                                                                                         Cc1cc(CN2Cc3cccnc3CC2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O 1.0
CHEMBL1689137                                                                                                                                                                                                                          C[C@H]1CN(Cc2cc(Cl)ccc2CC(=O)O)CCN1S(=O)(=O)Cc1ccccc1 1.0
 CHEMBL513192                                                                                                                                                                                                                                        Cn1cc(-c2ccc(O)cc2)c(=O)c2c(O)cc(O)cc21 1.0
CHEMBL1950724                                                                                                                                                                                                               CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1 0.0
 CHEMBL472210                                                                                                                                                                                                                                             CCn1c2nc(=O)n(C)c(=O)c-2cc2ccccc21 1.0
CHEMBL1412343                                                                                                                                                                                                                                          Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1 1.0
CHEMBL1236962                                                                                                                                                                                                                   COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F 1.0
 CHEMBL480445                                                                                                                                                                                                                             COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1 1.0
  CHEMBL63560                                                                                                                                                                                                                   C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1 1.0
CHEMBL2086668                                                                                                                                                                                                                 C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCC2CCN(S(C)(=O)=O)CC2)cn1 1.0
CHEMBL1437137                                                                                                                                                                                                                                                       CC(N)(COP(=O)(O)O)C(=O)O 1.0
 CHEMBL447983                                                                                                                                                                                                                                                    C[C@](N)(Cc1ccccc1)c1ccccc1 1.0
 CHEMBL418822                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2cccnc2)ccc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F 1.0
CHEMBL1213071                                                                                                                                                                                                                                                  Cc1onc(C(N)=O)c1C(=O)Nc1nccs1 1.0
CHEMBL1889452                                                                                                                                                                                                                                               CC1C(=O)Nc2ccccc2N1C(=O)c1ccccc1 1.0
CHEMBL1626156                                                                                                                                                                                                                                                OCCNCc1cc(Br)ccc1OCc1ccc(Cl)cc1 1.0
 CHEMBL456985                                                                                                                                                                                                                    CNC(=O)C[C@H](Nc1ncc(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1 1.0
  CHEMBL15770                                                                                                                                                                                                                           CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1 0.0
 CHEMBL572823                                                                                                                                                                                                                                        COc1cc(Nc2cc(Oc3cccnc3C)ccn2)cc(OC)c1OC 1.0
CHEMBL2178370                                                                                                                                                                                                                Cc1nc(C)c(-c2ccc3c(c2)CC[C@]32CC[C@@H](c3nnn[nH]3)CC2)nc1C(N)=O 1.0
CHEMBL1418939                                                                                                                                                                                                                                             COc1cnc(-c2ccccn2)nc1Oc1ccc(F)cc1F 1.0
CHEMBL1809228                                                                                                                                                                                                               COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccc(N(C)C)cn23)n1 1.0
