Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 5242                                                                                               Nc1cccc([N+](=O)[O-])c1N 1
Drug 4341                                                                                                     C[C@H]1CCCN(N=O)C1 1
Drug 5038                                                                                               NNc1ccc([N+](=O)[O-])cc1 1
Drug 6774                                                                            OC1C=Cc2cc3c4c(cc5ccccc53)-c3ccccc3-c4c2C1O 1
Drug 2512                                                                                                       NCC(=O)Nc1ccccc1 1
Drug 2752                                                              CCCCCC(=O)Cc1cc(O)cc2c1C(=O)Oc1cc(O)c(C(=O)O)c(CCCCC)c1O2 0
Drug 2349                                                                                                    COP(=O)(OC)N1CCOCC1 0
Drug 6524                                                                                       c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34 1
Drug 3267                                                                                                         O=S1(=O)CCCCO1 1
Drug 2159                                                                                                        O=C/C=C/C=C/C=O 1
Drug 3031                                                                           Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1 0
Drug 5691                                                                               Cc1c2cc(CO)ccc2nc2c3c(ccc12)C(O)C(O)C=C3 1
Drug 4202                                                                                  CC(=O)Nc1ccc(/C=N/n2nnc3ccnc-3c2O)cc1 1
Drug 2737                                                                                                       COc1cccc(C=O)c1O 0
Drug 3416                                                                                              O=Nc1ccc2c(c1)Cc1ccccc1-2 1
Drug 6238                                                                                              OC1c2ccc3ncccc3c2C2OC2C1O 0
Drug 2537                                                                                                       Cc1ccc(NCCCl)cc1 1
Drug 6472                                                                                            Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl 0
Drug 3127                                                                                                          Nc1ccc(Cl)cc1 1
Drug 7356                                                                                                           CC(Cl)CN(C)C 1
Drug 2527                                                                                       O=[N+]([O-])c1ccc(S(=O)(=O)O)cc1 0
Drug 5642                                                                                                  CC(=O)Nc1cnc2ccccc2c1 0
 Drug 539                                                                                                            NCCN1CCNCC1 0
Drug 5423                                                                                    Cc1cc2c3c(cccc3c1)-c1cc3ccccc3cc1-2 1
Drug 4062                                                                                                    O=C(O)Cc1ccc(Cl)cc1 0
 Drug 170                                                                                                [N-]=[N+]=NCCC(N)C(=O)O 1
Drug 6359                                                                                                                  COCOC 0
Drug 5295                                                                                             Cn1c(=O)c2c(ncn2C)n(C)c1=O 0
 Drug 364                                                                                  O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1 0
Drug 5017                                                                                   COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC 1
Drug 1821                                                                                                              C=C/C=C\C 0
Drug 2694                                                                                              CN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 4490                                                                                  O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1 0
Drug 1722                                                                         O[C@@H]1c2ccccc2-c2cc3c(ccc4ccccc43)nc2[C@H]1O 0
Drug 5397                                                                                                       BrCc1ccc(CBr)cc1 0
Drug 5576                                                                     CCCCCCCCCCCCCC(=O)ON(C(C)=O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 1710                                                                                             Fc1cnc2c(ccc3ncc(F)cc32)c1 0
Drug 5322                                                                         CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21 1
 Drug 654                                                                                                          CCCCCCCCCCCCO 0
Drug 4430                                                                                                 O=C(O)COc1ccc2ccccc2c1 0
Drug 6829                                                                CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccc(N=[N+]=[N-])cc23)cc1 1
 Drug 608                                                                                       COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1 1
Drug 1513                                                                                      c1ccc2cc3c(cc2c1)c1c(c2ccccc23)O1 1
 Drug 460                                                                                                      CCOC(C)C(=O)C(O)O 1
Drug 4297                                                                                                            Nc1nnc(S)s1 0
Drug 4577                                                                                                      Cc1ccc(C(=O)O)cc1 0
Drug 2346                                                                                                 O=Nc1[nH]cnc1-c1ccccc1 1
 Drug 647                                                                                                                  C=CCO 0
Drug 1396                                                                                                                 C=CCCl 1
Drug 3075                                                                            COC1=CC(=O)c2c(nc(C)c3c4c[nH]ccc-4nc23)C1=O 1
 Drug 740                                                                         OC1C=Cc2c(ccc3cc4c(cc23)C(O)C(O)c2ccccc2-4)C1O 0
Drug 4257                                                                                                          Oc1cccc(Cl)c1 0
Drug 1292                                                                                        O=C(O)/C=C/c1ccccc1[N+](=O)[O-] 0
 Drug 853                                                                                    CC(C)=CCC[C@@](C)(O)[C@H]1CCC=CC1=O 1
Drug 7143                                                                               CCCCCCCCCCCCCCCC(=O)OCC(O)c1oc(O)c(O)c1O 0
Drug 1124                                                                                   NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O 1
Drug 1521                                                                                     Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2 0
Drug 3781                                                                                       Cc1cnc2c(n1)c(C)c(C)c1c2nc(N)n1C 1
Drug 4539                                                                                                      CCC(C)OS(C)(=O)=O 1
Drug 1907                                                                                                             CCc1cnccn1 0
 Drug 124                                                                                                              C=CC(=O)O 0
Drug 6043                                                                                       c1ccc2c(c1)-c1cc3ccccc3cc1C1OC21 1
 Drug 745                                                                                             c1cc2ccc3cccc4ncc(c1)c2c34 1
Drug 6306                                                                 O=[N+]([O-])c1ccc2c(c1)-c1ccc([N+](=O)[O-])c3cccc-2c13 1
Drug 1598                                                                      O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
 Drug 430                                                                                                        CN(N=O)c1ccccc1 1
Drug 4866                                                                                                             Cl/C=C\CCl 1
Drug 1824                                                                                       Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1 0
 Drug 528                                                                                                              C1CCCNCC1 0
Drug 4359                                                                                                  CC(C)COC(=O)c1ccccc1N 0
Drug 6065                                                                              Cn1c(-c2ccccc2)c(N=Nc2scc[n+]2C)c2ccccc21 1
Drug 6395                                                                                                              CC(=O)C=O 1
Drug 7054                                                                                                  ClNc1nc(NCl)nc(NCl)n1 0
Drug 3941                                                                                        CC(C)c1cc(N)c([N+](=O)[O-])cc1N 1
Drug 3511                                                                                                     O=C1C=C(CCl)C(O)O1 1
Drug 5352                                                                                                     Nc1c(O)cccc1C(=O)O 0
Drug 5886                                                                                  Cc1c([N+](=O)[O-])cnc2c1nc1c(C)cccn12 1
 Drug 776                                                                                               O=[N+]([O-])c1ccc(NO)cc1 1
Drug 6666                                                                                       O=C1CC(=Nc2ccccc2)C(=O)c2ccccc21 1
Drug 6196                                                                           O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O 0
Drug 2887                                                                                      Cc1ccc2nsc(NC(=O)C(Cl)(Cl)Cl)c2c1 1
 Drug 297                                                                                                       Cc1ccc(NCCO)cc1O 0
 Drug 371                                                                                      O=C1CCC(=O)N1c1cc(Cl)c(Cl)c(Cl)c1 0
Drug 2695                                                                      O=C(c1ccccc1)[C@@H]1O[C@H]1c1ccc([N+](=O)[O-])cc1 0
Drug 5048                                                                           CC(C)NC[C@@H]1CCc2cc(CO)c([N+](=O)[O-])cc2N1 1
Drug 4425                                                                                                 CCCC(=O)Nc1snc2ccccc12 0
Drug 3663                                                                                                NNc1nc(-c2ccc(N)cc2)cs1 1
Drug 6271                                                                                     [N-]=[N+]=NCC(O)Cn1cnc2c(Cl)ncnc21 1
Drug 2610                                                                                     CCc1c2c(cc3ccccc13)-c1ccccc1C1OC21 1
Drug 4199                                                                                                        Cc1ccc2cccnc2c1 1
Drug 4844                                                                                       CCOC(=O)[C@@H]1O[C@]1(C)c1ccccc1 0
Drug 1240                                                                                                 Cc1ccc(S(=O)(=O)O)cc1C 0
Drug 7341                                                                    O=C1c2ccccc2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)ccc(O)c21 1
Drug 2489                                                                            CC(C)CC[C@@H](C)Nc1ccc(N[C@H](C)CCC(C)C)cc1 0
Drug 2525                                                                                                    Cc1ccc(C(C)(C)O)cc1 0
Drug 5612                                                                                            Cc1cccc2ccc3cc4ccccc4cc3c12 1
Drug 5596                                                                                                               NC(=O)CI 0
Drug 4907                                                                       O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2 1
Drug 5613                                                                      Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5194                                                                          O[C@H]1C=C2c3ccc4ccccc4c3-c3cccc(c32)[C@@H]1O 1
Drug 5110                                                                            CC[N+](CC)=c1ccc2nc3c(cc(N)c4ccccc43)oc-2c1 1
Drug 4705                                                                                                           CN(CCCCO)N=O 1
Drug 6597                                                                                   CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC 1
Drug 3125                                                                                                       CCCOc1ccc(N)cc1N 1
 Drug 808                                                                                                        Cc1ccc(C)c(O)c1 0
Drug 6735                                                                                  C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4 1
Drug 3784                                                                                 O=C1c2ccccc2C(=O)c2c1cc(O)c(C(=O)O)c2O 0
Drug 5808                                                                   CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C 0
Drug 4552                                                                                        O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO 0
Drug 7471                                                                                        C=CC(OC(C)=O)c1ccc(OC)c2ccccc12 1
Drug 3600                                                                                                 O=Nc1cccc(-c2ccccc2)c1 1
Drug 4063                                                                                                       CN(C)c1cccc(O)c1 1
Drug 6598                                                                               CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC 0
Drug 4333                                                                                                      CC(C)(C)N(CCO)CCO 0
Drug 1255                                                                                                    O=CN(O)c1cccc(Cl)c1 0
Drug 5528                                                                               COC1=CC(=O)C=C/C1=N\c1c2ccccc2nc2ccccc12 0
Drug 6675                                                                                    Fc1ccc2c3c(cccc13)-c1c-2ccc2ccccc12 1
Drug 6036                                                                                                         CC(C)Nc1ccccc1 0
Drug 2478                                                                          Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C 0
 Drug 280                                                                                               COC(=O)/C(C#N)=C/c1ccco1 0
Drug 5939                                                                                  Nc1ccc(Cc2ccc(N)c(C(=O)O)c2)cc1C(=O)O 0
Drug 5768           COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 0
Drug 5401                                                                                                       Clc1nncc2ccncc12 0
Drug 4376                                                                                 Oc1ccc2ccc3c4c(ccc3c2c1)C(O)C(O)C1OC41 1
Drug 1017                                                                                              c1cnc2ccc3c(c2c1)C1OC1CC3 1
 Drug 281                                                                      COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1 0
Drug 6975                                                                                                                CCC(C)N 0
Drug 3123                                                                                      O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12 0
Drug 4757                                                                                                          c1ccc2sncc2c1 0
Drug 1806                                                                                   NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 6816                                                                                           COC(=O)C12OC1(C)C(C)(O)NC2=O 1
Drug 3998                                                                                           COc1cccc(/C=C/c2ccc(N)cc2)c1 1
Drug 1399                                                                                     O=[N+]([O-])c1ccc([N+](=O)[O-])cc1 1
 Drug 663                                                [N-]=[N+]=Nc1ccc2c(Nc3ccc(NS(=O)(=O)CCCN)cc3)c3cc(N=[N+]=[N-])ccc3nc2c1 1
Drug 2696                                                                    O[C@H]1[C@H](O)c2cc3ccc4ccccc4c3cc2[C@@H]2O[C@@H]21 1
Drug 4491                                                                                                 O=C(CCl)Nc1snc2ccccc12 1
Drug 7051                                                                                              C[N+]1([O-])CCCC1c1cccnc1 0
Drug 2196                                                                                                       Clc1cccc2ncccc12 1
Drug 1779                                                                                                    CC(C)(Cl)OC(C)(C)Cl 1
Drug 1160                                                                                           Cc1cc2c(C)c3ccccc3c(C)c2cc1C 1
Drug 1603                                                                                                ClCc1c2ccccc2cc2ccccc12 1
 Drug 155                                                                                               COc1nsc2cc(OCC3CO3)ccc12 1
Drug 5557                                                                                             COC(=O)C(CSCC(C)Br)NC(C)=O 1
Drug 5527                                                                                                         Cc1ccc(CCl)cc1 0
Drug 3259                                       COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C 1
Drug 2365                                                                                                             CC(C)(C)OO 1
Drug 7389                                                                        CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 7177                                                                      CC(CCC(=O)O)C1CCC2C3CCC4CC(=O)CCC4(C)C3CC(=O)C12C 0
Drug 4360                                                                           COc1cccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)c1 1
Drug 2400                                                                                     Cc1c(C)c2c(Cl)c3ccccc3nc2c2ccccc12 1
 Drug 700                                                                                      [N-]=[N+]=NCC(O)Cn1cnc2c(N)ncnc21 1
Drug 1892                                                                                         Cc1cc2c(O)cccc2c2cc3ccccc3cc12 1
Drug 3536                                                                                                     CC12OOC1Oc1ccccc12 1
Drug 5336                                                                                                 O=P(OCCCl)(OCCCl)OCCCl 0
Drug 7146                                                                    CC(=O)c1c(O)c2n(c1O)C(C)(C)C1Cc3cccc4[nH]cc(c34)C21 0
Drug 5783                                                                                      COC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5905                                                                                                     COc1cc(N)cc(OC)c1N 0
Drug 1967                                                                       CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1 0
Drug 4272                                                                                       CC[C@@H]([C@@H](C)O)[N+](=O)[O-] 0
Drug 5284                                                                          Oc1cc2c(cc1O)[C@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2 0
Drug 6702                                                                                   CCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12 1
Drug 1714                                                                    CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCOCCO)CCC4(C)C3CCC12C 0
Drug 6320                                                                                                             c1c[nH]cn1 0
Drug 6674                                                                            C=CCC1C(=O)CC(OC(=O)C2C(C=C(C)C)C2(C)C)=C1C 1
Drug 2580                                                                                        Cc1ccc([N+](=O)[O-])c(C(=O)O)c1 1
Drug 1831                                                                                         Cc1cc2c(C)c3ccccc3nc2c2ccccc12 1
Drug 3202                                                                    O=C(CCCl)/N=c1\sn(C(=O)CCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 7544                                                                                                           CC1CCCCN1N=O 1
Drug 2949                                                                                            Oc1cccc2c1ccc1c3ccccc3ccc21 1
Drug 4948                                                                               CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1 0
Drug 7415                                                                             C=C1C(=O)OC2CC(C)C3CC(OCC)OC(OCC)C3(C)CC12 1
Drug 4999                                                                                              Brc1ccc2c(c1)C=CC1CCCCC21 0
Drug 4972                                                                                                        CCOc1ccc(N)cc1N 1
Drug 3897                                                                                       CSc1ncnc2c1ncn2CC(O)CN=[N+]=[N-] 1
Drug 4261                                                                                                         NCc1cccc(CN)c1 0
Drug 3733                                                                           O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-] 1
Drug 3501                                                                                                   CCCOC(=O)c1ccc(O)cc1 0
Drug 7496                                                                                   Cc1c2ccccc2cc2c3c(ccc12)C(O)C(O)C=C3 1
Drug 3367                                                                                     CCc1c2c(cc3ccccc13)-c1ccccc1C1NC21 1
 Drug 126                                                                                                                CCCCC=O 0
Drug 3382                                                                                                 C=C[C@](C)(O)CCC=C(C)C 0
Drug 4523                                                                                          Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 4992                                                 O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 0
Drug 1182                                                                                                        Oc1ccc2ccccc2c1 0
Drug 2831                                                                                      Cc1ccc2c(c1)cc1ccc3cccc4ccc2c1c34 1
Drug 5816                                                                                                        Nc1ccc2ccccc2n1 1
 Drug 762                                                                                           O=[N+]([O-])c1ccccc1C(F)(F)F 0
Drug 1927                                                                                     O=[N+]([O-])c1ccc2[nH]c3ccccc3c2c1 1
Drug 2413                                                                                                           Cl[C@@H]1CO1 1
  Drug 92                                                                                                             C=CC(=O)OC 0
 Drug 328                                                                    COc1cc2c(c3oc4cccc(O)c4c(=O)c13)[C@@H]1C=CO[C@H]1O2 1
Drug 1999                                                                                  OC1C=Cc2c(ccc3nc4ccc5ccccc5c4cc23)C1O 1
Drug 5804                                                    COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC 0
Drug 5806                                                                                    O=CNc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 6181                                                                                         CC(C)NCC(O)COc1cccc2c1OCC(O)C2 0
Drug 1227                                                                                  CC(=O)/C(=N/O)C(=O)N(c1ccccc1)N(C)N=O 1
Drug 4276                                                   CNC1C(O)C(OC2C(NC(=O)C(O)CN)CC(N)C(OC3CC(CN)C(O)C(O)C3O)C2O)CCC1(C)O 0
Drug 1663                                                                                COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1 1
Drug 6788                                                                                      CCN(CC)CCCC(C)Nc1cc(OC)cc2cccnc12 1
Drug 5782                                                                                               CC(C)OC1OC(=O)C(Cl)=C1Cl 1
Drug 4766                                                                                             Cc1cc2nccnc2c2nc(N)n(C)c12 1
Drug 5985                                                                CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1 0
Drug 1185                                                                        CC(=O)c1cc(NC(=O)NC(C)(C)C)ccc1OCC(O)CNC(C)(C)C 0
Drug 6013                                                                                                            CCCCN(C)N=O 1
Drug 1050                                                                                    O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl 1
Drug 3744                                                                                                      FC(F)C(F)C(F)(F)F 0
Drug 4875                                                                                                              C=CC(C)=O 1
Drug 3821                                                                                            C[n+]1c2ccccc2c(N)c2ccccc21 1
Drug 2865                                                                                            O=C(O)Cc1ccccc1[N+](=O)[O-] 1
Drug 1187                                                                                        Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1 0
Drug 5348                                                                  COc1ccc(-c2nc(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)[nH]2)cc1 1
Drug 7525                                                                                                  O=NN1CCC(c2ccccc2)CC1 1
Drug 1077                                                                                             Clc1c(Cl)c(Cl)c2ccccc2c1Cl 0
Drug 6063                                                                                 O=[N+]([O-])c1cccc2c1ncc1cnc3ccccc3c12 1
Drug 7386                                                                    O=C1c2cccc(O)c2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)cccc21 1
Drug 3958                                                                              Cc1ccc2cc(C)c3c4c(ccc3c2c1)C(O)C(O)C1OC41 1
Drug 1827                                                                                 Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-] 1
Drug 5476                                                                                               CC(C)COS(=O)(=O)c1ccccc1 1
Drug 6671                                                                                   O=[N+]([O-])c1ccc(C=C=[N+]([O-])O)o1 1
Drug 6603                                                                      C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1 0
Drug 4887                                                                            O=[N+]([O-])c1c(O)cc2c3c(cccc13)-c1ccccc1-2 1
Drug 5574                                                                                                        Cc1ccc2ccccc2c1 0
Drug 1353                                                                                                            CC(C)(C)OCO 0
Drug 2079                                                                                              CC1=CC(=O)c2c(O)cccc2C1=O 1
Drug 4312                                                                                           CC(C)COC(=O)CCCCC(=O)OCC(C)C 0
Drug 5339                                                                                                  Clc1ccc2oc3ccccc3c2c1 1
Drug 5797                                                                                         CC(=O)C1(C)OC12C=Cc1ccccc1C2=O 0
Drug 1308                                                                                             CC(=O)/C=C\c1ccc2c(c1)OCO2 0
Drug 2420                                                                                                         C1CCC2(CC1)CO2 0
Drug 2814                                                                                   COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4590                                                                                                           ClC[C@H]1CO1 1
Drug 2644                                                                                                   CC(=O)OCN(CCCCCl)N=O 1
Drug 6933                                                                                           [N-]=[N+]=CC(=O)OCC(N)C(=O)O 1
  Drug 97                                                                    Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1 0
Drug 5494                                                                                                            O=Cc1ccccc1 0
Drug 2659                                                                                           c1ccc2c(c1)ccc1c3cccnc3ccc21 1
Drug 3079                                                                                     C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1 1
 Drug 907 CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]4[C@H](C)CCCC(C)C)[C@@H]3C[C@@H]3N(N4C(=O)c5ccccc5C4=O)[C@@]32C1 1
Drug 2613                                                                                 N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5608                                                                                               Fc1ccc(F)c2c1ccc1cccnc12 1
Drug 4662                                                                                                     NC(Cn1ccnc1)C(=O)O 1
Drug 1203                                                                                    CC(=O)N1CCC[C@H]1C(=O)N(CC(=O)O)N=O 1
Drug 1364                                                            CC(=O)Oc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O 1
Drug 7071                                                                                                            CC(O)C(=O)O 0
 Drug 175                                                                                                          FC(F)C(F)(F)F 0
Drug 5841                                                                                  CCOP(=O)(OCC)N1C2c3ccccc3-c3ccccc3C21 1
Drug 7013                                                                                                           NC1CCC(N)CC1 0
 Drug 142                                                                                                         N#Cc1ccccc1C#N 0
Drug 6137                                                                                 COC(=O)c1oc(NO)c(-c2ccccc2)c1-c1ccccc1 0
Drug 2040                                                                                                 Nc1cnc2c(c1)nc1ccccn12 1
Drug 6283                                                                                                           FC(F)=C(F)Cl 0
Drug 5260                                                                                            Cc1ccc2cc3ccc4ccccc4c3nc2c1 1
Drug 3702                                                                                              Nc1cc(Cl)ccc1[N+](=O)[O-] 1
Drug 5310                                                                      CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2 0
Drug 2202                                                                                                      O=NN1CCC(=O)NC1=O 1
Drug 1137                                                                                                          O=S1(=O)CCCC1 0
Drug 6158                                                                              O=[N+]([O-])C1=Cc2ccc3ccc4cccc5cc1c2c3c45 1
Drug 3293                                                                                                    O=[N+]([O-])C1CCCC1 1
Drug 5193                                                                                       O=C1C(O)=C(O)O[C@@H]1[C@@H](O)CO 0
Drug 1249                                                                                                           O=NN1CC=CCC1 1
Drug 3193                                                                                      CNc1ccc(N(CCO)CCO)cc1[N+](=O)[O-] 1
Drug 4614                                                                        COc1cc(O)c2c(=O)c3c(OC)cc4c(c3oc2c1OC)C1CCOC1O4 0
Drug 1076                                                                                                     CC(=O)N(O)c1ccccc1 0
Drug 4911                                                                 O=[N+]([O-])c1ccc2c3c(ccc([N+](=O)[O-])c13)-c1ccccc1-2 1
Drug 2339                                                  CC12CCNC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)/C=C/c3cccc(N(CCCl)CCCl)c3)CCC12 0
Drug 3091                                                                                                        Cc1ccccc1C(N)=O 0
Drug 3433                                                                         CCN(CC)c1ccc(-c2ccc(-c3ccc(N(CC)CC)cc3)cc2)cc1 1
Drug 2066                                                                                     O=[N+]([O-])c1ccccc1SSC(F)=C(Cl)Cl 1
Drug 5228                                                                                           Nc1ccc(/C=C/c2cccc(Cl)c2)cc1 1
  Drug 39                                                                                            Oc1cc2c3ccccc3ccc2c2ccccc12 1
 Drug 532                                                                                 CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O 1
Drug 2632                                                                                            Cc1cccc2c1ccc1c3ccccc3ccc21 1
Drug 5498                                                                                                       CC(=O)OCc1ccccc1 0
Drug 3972                                                                                Cc1ccc(/N=C/N=C/N(C)c2ccc(C)cc2C)c(C)c1 0
Drug 4221                                                                                          Cc1ccc([N+](=O)[O-])cc1C(=O)O 1
Drug 3906                                                                                            Clc1ccc(C(Cl)(Cl)Cl)c(Cl)c1 1
Drug 2794                                                                                                    c1cnc2c(c1)C1OC1CC2 0
Drug 1424                                                                                    CCCCCCCOc1ccccc1NC(=O)OC(C)CN(CC)CC 0
Drug 4138                                                                                                       Clc1cnc2ccccc2c1 0
Drug 7475                                                                                                       Nc1ccc(N)c(Cl)c1 1
Drug 1620                                                                                                                    CBr 1
 Drug 831                                                                                                         O=NN1CCOC(O)C1 1
 Drug 205                                                                                                   C=C(C)C(=O)OC(C)(C)C 0
Drug 6510                                                                                                  O=P1(NCCCl)OCCCN1CCCl 1
Drug 5708                                                                                   Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2 0
Drug 3156                                                                                                       Clc1nncc2cnccc12 0
Drug 6838                                                                       CC1COc2c(N3CCN(C)CC3)c(F)c(C(=O)O)c3c(=O)ccn1c23 1
Drug 6985                                                                                                    Brc1ccccc1-c1ccccc1 0
Drug 1279                                                                                          N#Cc1ccc(/C=C/c2ccc(N)cc2)cc1 1
Drug 6263                                                                                             CN(Cc1cccc(C(F)(F)F)c1)N=O 1
 Drug 913                                                                                                   CC(C)OC(=O)Cc1ccccc1 0
 Drug 773                                                                                          Oc1cccc(/C=N/c2snc3ccccc23)c1 1
Drug 1640                                                                                             Cc1cc(C)c2c(ccc3ccccc32)c1 1
Drug 7048                                                                                                COP(=S)(OC)SCC(=O)NCC=O 0
Drug 3502                                                                                                 CC(=O)N=C1C=CC(=O)C=C1 0
Drug 6840                                                                                O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21 1
Drug 4744                                                                                            Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O 0
Drug 4302                                                                                                   CC(=O)CN(CC(C)=O)N=O 1
Drug 7031                                                                                    CC(=O)Nc1ccc(Cc2ccc(NC(C)=O)cc2)cc1 0
Drug 6944                                                                 CC(=O)OC1CC2C(COC(=O)CC(C)C)=COC(OC(=O)CC(C)C)C2C12CO2 1
Drug 1349                                                                                                   Oc1cccc(Nc2ccccc2)c1 0
Drug 1457                                                                                      Cc1c2ccc3ccccc3c2cc2ccc(O)c(O)c12 1
Drug 5811                                                                        O=C(O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 1792                                                                                   c1ccc2c3c(ccc2c1)Cc1c(ccc2ccccc12)C3 1
Drug 4502                                                                                                           OCCCc1ccccc1 0
Drug 3873                                                                                                          O=C=NC1CCCCC1 0
Drug 3920                                                                                                   FC(C(F)(F)F)C(F)(F)F 0
Drug 7055                                                                                         CC(C)CC(C)Nc1ccc(Nc2ccccc2)cc1 0
Drug 2701                                                                                    CC(=O)Nc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
 Drug 726                                                                                                         c1cnc2cnncc2c1 0
Drug 7317                                                                                    Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3=O 1
Drug 4301                                                                                          COc1ccc2[nH]cc(CCNC(C)=O)c2c1 0
Drug 2429                                                                                                  CC(=O)NNC(=O)c1ccccn1 0
Drug 2494                              CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O 0
Drug 2326                                                                     O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])ccc4ccc1c2c43 1
Drug 7602                                                                 CC/N=c1\cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c-2cc1C 0
